Wavelength (nm),Irradiance (W/m^2 nm),Normalized,,wavelength,1.5 AM irrandiance,Normalized 1.5AM
1376,3.58E-01,0.14609,,1406,0.0019861,1.38E-03
1377,3.61E-01,0.14748,,1407,1.70E-04,1.18E-04
1378,3.61E-01,0.14771,,1408,0.0016023,1.12E-03
1379,3.62E-01,0.14803,,1409,6.02E-04,4.19E-04
1380,3.60E-01,0.14734,,1410,4.53E-04,3.16E-04
1381,3.59E-01,0.14678,,1411,0.0020544,1.43E-03
1382,3.56E-01,0.1454,,1412,0.002565,1.79E-03
1383,3.58E-01,0.14609,,1413,0.02269,1.58E-02
1384,3.58E-01,0.14637,,1414,3.54E-04,2.46E-04
1385,3.56E-01,0.14549,,1415,1.79E-04,1.24E-04
1386,3.57E-01,0.14554,,1416,0.034561,2.41E-02
1387,3.56E-01,0.14521,,1417,0.011431,7.97E-03
1388,3.57E-01,0.14577,,1418,0.013182,9.19E-03
1389,3.55E-01,0.14485,,1419,0.0020851,1.45E-03
1390,3.53E-01,0.14388,,1420,0.0080437,5.61E-03
1391,3.55E-01,0.14498,,1421,0.0089117,6.21E-03
1392,3.54E-01,0.14443,,1422,0.045023,3.14E-02
1393,3.53E-01,0.14383,,1423,0.0089676,6.25E-03
1394,3.51E-01,0.14305,,1424,0.016511,1.15E-02
1395,3.51E-01,0.14277,,1425,0.025142,1.75E-02
1396,3.52E-01,0.14337,,1426,0.027032,1.88E-02
1397,3.52E-01,0.14351,,1427,0.04818,3.36E-02
1398,3.52E-01,0.14328,,1428,0.004436,3.09E-03
1399,3.48E-01,0.14152,,1429,0.036985,2.58E-02
1400,3.43E-01,0.13926,,1430,0.059912,4.18E-02
,,,,1431,0.048792,3.40E-02
,,,,1432,0.0024524,1.71E-03
,,,,1433,0.03487,2.43E-02
,,,,1434,0.020403,1.42E-02
,,,,1435,0.020847,1.45E-02
,,,,1436,0.037326,2.60E-02
,,,,1437,0.029085,2.03E-02
,,,,1438,0.012913,9.00E-03
,,,,1439,0.049672,3.46E-02
,,,,1440,0.038547,2.69E-02
,,,,1441,0.030959,2.16E-02
,,,,1442,0.035356,2.46E-02
,,,,1443,0.043868,3.06E-02
,,,,1444,0.060143,4.19E-02
,,,,1445,0.048434,3.38E-02
