Acc-Don Pair,LUMO offset,HOMO offset,D-HOMO & A-LUMO offset
BTA53/PTB7-Th,0.35298716086574977,0.3556528026035002,1.3950786990826733
BTA53/PBDB-TF,0.6541964967484502,0.10351210873020023,1.6472193929559733
BTA53/PDCBT-Cl,0.5699476377510599,0.26961040307540074,1.4811210986107728
BTA53/P3HT,0.8396282328410596,0.2407391235373506,1.509992378148823
BTA53/PBDB-T,0.3827324492211903,0.2791071764578499,1.4716243252283236
BTA53/PBDB-T-2Cl,0.5913933530238746,0.03624556488660069,1.7144859367995728
i-cc23/PTB7-Th,0.7638977519834285,0.27355605390765003,0.9841681079649947
i-cc23/PBDB-TF,1.0651070878661288,0.021415360034350073,1.2363088018382946
i-cc23/PDCBT-Cl,0.9808582288687386,0.1875136543795506,1.070210507493094
i-cc23/P3HT,1.2505388239587383,0.15864237484150046,1.0990817870311442
i-cc23/PBDB-T,0.793643040338869,0.19701042776199973,1.060713734110645
i-cc23/PBDB-T-2Cl,1.0023039441415533,0.04585118380924946,1.3035753456818941
Y14/PTB7-Th,0.8772219570807422,0.6668966248053998,0.8708439028676809
Y14/PBDB-TF,1.1784312929634426,0.41475593093209984,1.1229845967409808
Y14/PDCBT-Cl,1.0941824339660524,0.5808542252773004,0.9568863023957803
Y14/P3HT,1.363863029056052,0.5519829457392502,0.9857575819338305
Y14/PBDB-T,0.9069672454361828,0.5903509986597495,0.9473895290133312
Y14/PBDB-T-2Cl,1.115628149238867,0.3474893870885003,1.1902511405845804
IPTBO-4Cl/PTB7-Th,0.6453404568619723,0.57669088336465,1.1027254030864508
IPTBO-4Cl/PBDB-TF,0.9465497927446727,0.32455018949135006,1.3548660969597508
IPTBO-4Cl/PDCBT-Cl,0.8623009337472824,0.4906484838365506,1.1887678026145503
IPTBO-4Cl/P3HT,1.131981528837282,0.46177720429850044,1.2176390821526004
IPTBO-4Cl/PBDB-T,0.6750857452174128,0.5001452572189997,1.1792710292321011
IPTBO-4Cl/PBDB-T-2Cl,0.8837466490200971,0.2572836456477505,1.4221326408033503
H2/PTB7-Th,0.607379004864872,0.62561695368455,1.1406868550835512
H2/PBDB-TF,0.9085883407475723,0.37347625981125,1.3928275489568511
H2/PDCBT-Cl,0.8243394817501821,0.5395745541564505,1.2267292546116506
H2/P3HT,1.0940200768401818,0.5107032746184004,1.2556005341497007
H2/PBDB-T,0.6371242932203125,0.5490713275388996,1.2172324812292015
H2/PBDB-T-2Cl,0.8457851970229968,0.30620971596765045,1.4600940928004507
NITV/PTB7-Th,0.37331396039342746,0.6399029308357997,1.3747518995549957
NITV/PBDB-TF,0.6745232962761278,0.3877622369624998,1.6268925934282956
NITV/PDCBT-Cl,0.5902744372787376,0.5538605313077003,1.460794299083095
NITV/P3HT,0.8599550323687373,0.5249892517696502,1.4896655786211452
NITV/PBDB-T,0.403059248748868,0.5633573046901494,1.451297525700646
NITV/PBDB-T-2Cl,0.6117201525515523,0.32049569311890025,1.6941591372718952
IDF-IC/PTB7-Th,0.554473269843208,0.7282855094782006,1.1935925901052151
IDF-IC/PBDB-TF,0.8556826057259084,0.47614481560490063,1.445733283978515
IDF-IC/PDCBT-Cl,0.7714337467285182,0.6422431099501011,1.2796349896333146
IDF-IC/P3HT,1.0411143418185178,0.613371830412051,1.3085062691713647
IDF-IC/PBDB-T,0.5842185581986485,0.6517398833325503,1.2701382162508654
IDF-IC/PBDB-T-2Cl,0.7928794620013329,0.4088782717613011,1.5129998278221146
Y6/PTB7-Th,0.73846278329215,0.7518777803165495,1.0096030766562731
Y6/PBDB-TF,1.0396721191748504,0.49973708644324955,1.261743770529573
Y6/PDCBT-Cl,0.9554232601774602,0.6658353807884501,1.0956454761843726
Y6/P3HT,1.2251038552674598,0.6369641012503999,1.1245167557224227
Y6/PBDB-T,0.7682080716475905,0.6753321541708992,1.0861487028019234
Y6/PBDB-T-2Cl,0.9768689754502748,0.43247054259965,1.3290103143731726
M34/PTB7-Th,0.6509929445639697,0.6426240693407994,1.0970729153844534
M34/PBDB-TF,0.9522022804466701,0.39048337546749945,1.3492136092577534
M34/PDCBT-Cl,0.8679534214492799,0.5565816698127,1.1831153149125528
M34/P3HT,1.1376340165392795,0.5277103902746498,1.211986594450603
M34/PBDB-T,0.6807382329194103,0.5660784431951491,1.1736185415301037
M34/PBDB-T-2Cl,0.8893991367220946,0.3232168316238999,1.416480153101353
SeTIC/PTB7-Th,0.540064809053479,0.5336424722155497,1.2080010508949441
SeTIC/PBDB-TF,0.8412741449361794,0.28150177834224976,1.460141744768244
SeTIC/PDCBT-Cl,0.7570252859387891,0.4476000726874503,1.2940434504230436
SeTIC/P3HT,1.0267058810287888,0.41872879314940015,1.3229147299610937
SeTIC/PBDB-T,0.5698100974089195,0.4570968460698994,1.2845466770405944
SeTIC/PBDB-T-2Cl,0.7784710012116038,0.21423523449865023,1.5274082886118436
N3/PTB7-Th,0.7927972014272218,0.7716332458628496,0.9552686585212014
N3/PBDB-TF,1.0940065373099221,0.5194925519895497,1.2074093523945013
N3/PDCBT-Cl,1.009757678312532,0.6855908463347502,1.0413110580493008
N3/P3HT,1.2794382734025316,0.6567195667967001,1.070182337587351
N3/PBDB-T,0.8225424897826623,0.6950876197171993,1.0318142846668517
N3/PBDB-T-2Cl,1.0312033935853466,0.45222600814595015,1.2746758962381008
CPDT-4Cl/PTB7-Th,0.701103752605329,0.66061079485885,1.0469621073430941
CPDT-4Cl/PBDB-TF,1.0023130884880294,0.40847010098555003,1.299102801216394
CPDT-4Cl/PDCBT-Cl,0.9180642294906391,0.5745683953307505,1.1330045068711936
CPDT-4Cl/P3HT,1.1877448245806388,0.5456971157927004,1.1618757864092437
CPDT-4Cl/PBDB-T,0.7308490409607695,0.5840651687131997,1.1235077334887444
CPDT-4Cl/PBDB-T-2Cl,0.9395099447634538,0.3412035571419505,1.3663693450599936
Y5/PTB7-Th,0.7868418254719005,0.6902712045633503,0.9612240344765226
Y5/PBDB-TF,1.088051161354601,0.4381305106900504,1.2133647283498226
Y5/PDCBT-Cl,1.0038023023572107,0.6042288050352509,1.047266434004622
Y5/P3HT,1.2734828974472103,0.5753575254972008,1.0761377135426722
Y5/PBDB-T,0.8165871138273411,0.6137255784177,1.037769660622173
Y5/PBDB-T-2Cl,1.0252480176300254,0.37086396684645084,1.280631272193422
BTTPC/PTB7-Th,0.495089615974873,0.5415337738800501,1.2529762439735501
BTTPC/PBDB-TF,0.7962989518575734,0.2893930800067501,1.50511693784685
BTTPC/PDCBT-Cl,0.7120500928601832,0.45549137435195064,1.3390186435016496
BTTPC/P3HT,0.9817306879501828,0.4266200948139005,1.3678899230396997
BTTPC/PBDB-T,0.5248349043303135,0.4649881477343998,1.3295218701192004
BTTPC/PBDB-T-2Cl,0.7334958081329979,0.2221265361631506,1.5723834816904496
BTP-PhC6/PTB7-Th,0.5561935713735062,0.2921958526669002,1.191872288574917
BTP-PhC6/PBDB-TF,0.8574029072562066,0.04005515879360022,1.4440129824482169
BTP-PhC6/PDCBT-Cl,0.7731540482588164,0.20615345313880074,1.2779146881030163
BTP-PhC6/P3HT,1.042834643348816,0.1772821736007506,1.3067859676410665
BTP-PhC6/PBDB-T,0.5859388597289468,0.21565022652124988,1.2684179147205672
BTP-PhC6/PBDB-T-2Cl,0.7945997635316311,0.027211385049999315,1.5112795262918164
o-IO1/PTB7-Th,0.5912490477889154,0.45823972424199955,1.1568168121595077
o-IO1/PBDB-TF,0.8924583836716158,0.2060990303686996,1.4089575060328077
o-IO1/PDCBT-Cl,0.8082095246742256,0.3721973247139001,1.2428592116876072
o-IO1/P3HT,1.0778901197642252,0.34332604517584997,1.2717304912256573
o-IO1/PBDB-T,0.620994336144356,0.38169409809634924,1.233362438305158
o-IO1/PBDB-T-2Cl,0.8296552399470403,0.13883248652510005,1.4762240498764072
TPIC-4Cl/PTB7-Th,0.5587929648067584,0.6513589239418502,1.1892728951416647
TPIC-4Cl/PBDB-TF,0.8600023006894588,0.3992182300685503,1.4414135890149646
TPIC-4Cl/PDCBT-Cl,0.7757534416920686,0.5653165244137508,1.2753152946697641
TPIC-4Cl/P3HT,1.0454340367820683,0.5364452448757007,1.3041865742078143
TPIC-4Cl/PBDB-T,0.588538253162199,0.5748132977961999,1.265818521287315
TPIC-4Cl/PBDB-T-2Cl,0.7971991569648833,0.33195168622495075,1.5086801328585642
AQx-2/PTB7-Th,0.6630698590765665,0.7087205236272505,1.0849960008718567
AQx-2/PBDB-TF,0.9642791949592668,0.4565798297539505,1.3371366947451566
AQx-2/PDCBT-Cl,0.8800303359618766,0.622678124099151,1.171038400399956
AQx-2/P3HT,1.1497109310518763,0.5938068445611009,1.1999096799380062
AQx-2/PBDB-T,0.692815147432007,0.6321748974816002,1.161541627017507
AQx-2/PBDB-T-2Cl,0.9014760512346913,0.38931328591035097,1.4044032385887562
N65-IC/PTB7-Th,0.5475649122400852,0.48934233735414967,1.200500947708338
N65-IC/PBDB-TF,0.8487742481227856,0.2372016434808497,1.4526416415816379
N65-IC/PDCBT-Cl,0.7645253891253954,0.4032999378260502,1.2865433472364374
N65-IC/P3HT,1.034205984215395,0.3744286582880001,1.3154146267744875
N65-IC/PBDB-T,0.5773102005955257,0.41279671120849937,1.2770465738539882
N65-IC/PBDB-T-2Cl,0.78597110439821,0.16993509963725018,1.5199081854252374
BTA43/PTB7-Th,0.22807616854385504,0.26849473628834986,1.519989691404568
BTA43/PBDB-TF,0.5292855044265554,0.016354042415049896,1.772130385277868
BTA43/PDCBT-Cl,0.4450366454291652,0.1824523367602504,1.6060320909326675
BTA43/P3HT,0.7147172405191649,0.15358105722220028,1.6349033704707177
BTA43/PBDB-T,0.2578214568992956,0.19194911014269955,1.5965353175502184
BTA43/PBDB-T-2Cl,0.4664823607019799,0.05091250142854964,1.8393969291214676
BTCIC/PTB7-Th,0.6763684357530586,0.49881189935155046,1.0716974241953645
BTCIC/PBDB-TF,0.977577771635759,0.2466712054782505,1.3238381180686645
BTCIC/PDCBT-Cl,0.8933289126383688,0.412769499823451,1.157739823723464
BTCIC/P3HT,1.1630095077283684,0.3838982202854009,1.186611103261514
BTCIC/PBDB-T,0.7061137241084992,0.42226627320590016,1.1482430503410148
BTCIC/PBDB-T-2Cl,0.9147746279111835,0.17940466163465096,1.391104661912264
o-IO2/PTB7-Th,0.5124046592156533,0.37758517895380006,1.2356612007327699
o-IO2/PBDB-TF,0.8136139950983536,0.1254444850805001,1.4878018946060698
o-IO2/PDCBT-Cl,0.7293651361009634,0.2915427794257006,1.3217036002608693
o-IO2/P3HT,0.9990457311909631,0.2626714998876505,1.3505748797989194
o-IO2/PBDB-T,0.5421499475710938,0.30103955280814976,1.3122068268784202
o-IO2/PBDB-T-2Cl,0.7508108513737781,0.058177941236900566,1.5550684384496694
IDST-4F/PTB7-Th,0.6687631406282009,0.5778337615367501,1.0793027193202223
IDST-4F/PBDB-TF,0.9699724765109012,0.3256930676634502,1.3314434131935222
IDST-4F/PDCBT-Cl,0.885723617513511,0.4917913620086507,1.1653451188483217
IDST-4F/P3HT,1.1554042126035107,0.46292008247060057,1.1942163983863718
IDST-4F/PBDB-T,0.6985084289836414,0.5012881353910998,1.1558483454658726
IDST-4F/PBDB-T-2Cl,0.9071693327863257,0.25842652381985065,1.3987099570371218
BDTN-Th/PTB7-Th,0.5838411304571478,0.46599496898125015,1.1642247294912753
BDTN-Th/PBDB-TF,0.8850504663398482,0.2138542751079502,1.4163654233645753
BDTN-Th/PDCBT-Cl,0.800801607342458,0.3799525694531507,1.2502671290193748
BDTN-Th/P3HT,1.0704822024324576,0.35108128991510057,1.2791384085574249
BDTN-Th/PBDB-T,0.6135864188125884,0.38944934283559984,1.2407703556369256
BDTN-Th/PBDB-T-2Cl,0.8222473226152727,0.14658773126435065,1.4836319672081748
IDTT-TBTA/PTB7-Th,0.2611839132652869,0.6480119235807003,1.4868819466831362
IDTT-TBTA/PBDB-TF,0.5623932491479873,0.3958712297074003,1.7390226405564362
IDTT-TBTA/PDCBT-Cl,0.47814439015059707,0.5619695240526008,1.5729243462112357
IDTT-TBTA/P3HT,0.7478249852405967,0.5330982445145507,1.6017956257492858
IDTT-TBTA/PBDB-T,0.29092920162072744,0.57146629743505,1.5634275728287865
IDTT-TBTA/PBDB-T-2Cl,0.49959010542341176,0.32860468586380076,1.8062891844000357
BTP-4Cl/PTB7-Th,0.6572653376969946,0.7657011639219498,1.0908005222514285
BTP-4Cl/PBDB-TF,0.958474673579695,0.5135604700486498,1.3429412161247285
BTP-4Cl/PDCBT-Cl,0.8742258145823047,0.6796587643938503,1.176842921779528
BTP-4Cl/P3HT,1.1439064096723044,0.6507874848558002,1.2057142013175781
BTP-4Cl/PBDB-T,0.6870106260524351,0.6891555377762995,1.1673461483970788
BTP-4Cl/PBDB-T-2Cl,0.8956715298551194,0.44629392620505026,1.410207759968328
ZY-4Cl/PTB7-Th,0.8308776190537124,0.6593590711465502,0.9171882408947107
ZY-4Cl/PBDB-TF,1.1320869549364128,0.4072183772732503,1.1693289347680107
ZY-4Cl/PDCBT-Cl,1.0478380959390226,0.5733166716184508,1.0032306404228102
ZY-4Cl/P3HT,1.3175186910290222,0.5444453920804007,1.0321019199608603
ZY-4Cl/PBDB-T,0.8606229074091529,0.5828134450008999,0.993733867040361
ZY-4Cl/PBDB-T-2Cl,1.0692838112118372,0.33995183342965074,1.2365954786116102
EH-IDTBR/PTB7-Th,0.4076427314287585,0.31461803394809973,1.3404231285196646
EH-IDTBR/PBDB-TF,0.7088520673114589,0.06247734007479977,1.5925638223929646
EH-IDTBR/PDCBT-Cl,0.6246032083140687,0.22857563442000028,1.426465528047764
EH-IDTBR/P3HT,0.8942838034040683,0.19970435488195015,1.4553368075858142
EH-IDTBR/PBDB-T,0.43738801978419906,0.23807240780244943,1.416968754665315
EH-IDTBR/PBDB-T-2Cl,0.6460489235868834,0.004789203768799766,1.659830366236564
BTN-4F/PTB7-Th,0.8131839142163049,0.6671687386559002,0.9348819457321182
BTN-4F/PBDB-TF,1.1143932500990053,0.41502804478260025,1.1870226396054182
BTN-4F/PDCBT-Cl,1.030144391101615,0.5811263391278008,1.0209243452602177
BTN-4F/P3HT,1.2998249861916147,0.5522550595897506,1.0497956247982678
BTN-4F/PBDB-T,0.8429292025717454,0.5906231125102499,1.0114275718777685
BTN-4F/PBDB-T-2Cl,1.0515901063744297,0.3477615009390007,1.2542891834490177
BCDT-4F/PTB7-Th,0.7133481745891612,0.5464046118039994,1.034717685359262
BCDT-4F/PBDB-TF,1.0145575104718616,0.2942639179306994,1.2868583792325619
BCDT-4F/PDCBT-Cl,0.9303086514744714,0.4603622122758999,1.1207600848873613
BCDT-4F/P3HT,1.199989246564471,0.4314909327378498,1.1496313644254115
BCDT-4F/PBDB-T,0.7430934629446018,0.46985898565834905,1.1112633115049122
BCDT-4F/PBDB-T-2Cl,0.9517543667472861,0.22699737408709986,1.3541249230761614
FDICTF/PTB7-Th,0.5542116404929507,0.70284286445645,1.1938542194554724
FDICTF/PBDB-TF,0.8554209763756511,0.45070217058315,1.4459949133287724
FDICTF/PDCBT-Cl,0.7711721173782609,0.6168004649283505,1.2798966189835719
FDICTF/P3HT,1.0408527124682605,0.5879291853903004,1.308767898521622
FDICTF/PBDB-T,0.5839569288483912,0.6262972383107996,1.2703998456011227
FDICTF/PBDB-T-2Cl,0.7926178326510755,0.38343562673955045,1.513261457172372
Y1-4F/PTB7-Th,0.5815176841371423,0.6987067339288497,1.1665481758112808
Y1-4F/PBDB-TF,0.8827270200198427,0.4465660400555498,1.4186888696845807
Y1-4F/PDCBT-Cl,0.7984781610224525,0.6126643344007503,1.2525905753393802
Y1-4F/P3HT,1.0681587561124521,0.5837930548627002,1.2814618548774304
Y1-4F/PBDB-T,0.6112629724925829,0.6221611077831994,1.243093801956931
Y1-4F/PBDB-T-2Cl,0.8199238762952672,0.37929949621195025,1.4859554135281803
BTCIC-4Cl/PTB7-Th,0.838761507529254,0.71606759759075,0.9093043524191691
BTCIC-4Cl/PBDB-TF,1.1399708434119544,0.46392690371745005,1.161445046292469
BTCIC-4Cl/PDCBT-Cl,1.0557219844145642,0.6300251980626506,0.9953467519472685
BTCIC-4Cl/P3HT,1.3254025795045639,0.6011539185246004,1.0242180314853186
BTCIC-4Cl/PBDB-T,0.8685067958846946,0.6395219714450997,0.9858499785648194
BTCIC-4Cl/PBDB-T-2Cl,1.077167699687379,0.3966603598738505,1.2287115901360686
NIDT/PTB7-Th,0.4330380216943266,0.36509515321584995,1.3150278382540965
NIDT/PBDB-TF,0.734247357577027,0.11295445934255,1.5671685321273965
NIDT/PDCBT-Cl,0.6499984985796368,0.2790527536877505,1.401070237782196
NIDT/P3HT,0.9196790936696364,0.2501814741497004,1.429941517320246
NIDT/PBDB-T,0.46278331004976714,0.28854952707019965,1.3915734643997468
NIDT/PBDB-T-2Cl,0.6714442138524515,0.04568791549895046,1.634435075970996
BCDT-4Cl/PTB7-Th,0.7357044418023135,0.5798201926453999,1.0123614181461096
BCDT-4Cl/PBDB-TF,1.036913777685014,0.3276794987720999,1.2645021120194095
BCDT-4Cl/PDCBT-Cl,0.9526649186876237,0.4937777931173004,1.098403817674209
BCDT-4Cl/P3HT,1.2223455137776233,0.4649065135792503,1.1272750972122592
BCDT-4Cl/PBDB-T,0.7654497301577541,0.5032745664997496,1.0889070442917599
BCDT-4Cl/PBDB-T-2Cl,0.9741106339604384,0.26041295492850036,1.331768655863009
p-IO1/PTB7-Th,0.5517158436865124,0.40520473477954955,1.1963500162619107
p-IO1/PBDB-TF,0.8529251795692128,0.1530640409062496,1.4484907101352107
p-IO1/PDCBT-Cl,0.7686763205718226,0.3191623352514501,1.2823924157900102
p-IO1/P3HT,1.0383569156618222,0.29029105571339997,1.3112636953280603
p-IO1/PBDB-T,0.5814611320419529,0.32865910863389924,1.272895642407561
p-IO1/PBDB-T-2Cl,0.7901220358446372,0.08579749706265005,1.5157572539788102
BTA3/PTB7-Th,0.33627351378191506,0.3985379454422997,1.411792346166508
BTA3/PBDB-TF,0.6374828496646154,0.14639725156899974,1.663933040039808
BTA3/PDCBT-Cl,0.5532339906672252,0.31249554591420026,1.4978347456946075
BTA3/P3HT,0.8229145857572249,0.2836242663761501,1.5267060252326576
BTA3/PBDB-T,0.3660188021373556,0.3219923192966494,1.4883379723121584
BTA3/PBDB-T-2Cl,0.5746797059400399,0.0791307077254002,1.7311995838834076
BTTPC-Br/PTB7-Th,0.6627174600889152,0.5436562619139496,1.085348399859508
BTTPC-Br/PBDB-TF,0.9639267959716156,0.2915155680406496,1.3374890937328079
BTTPC-Br/PDCBT-Cl,0.8796779369742254,0.4576138623858501,1.1713907993876074
BTTPC-Br/P3HT,1.149358532064225,0.4287425828478,1.2002620789256575
BTTPC-Br/PBDB-T,0.6924627484443557,0.46711063576829925,1.1618940260051582
BTTPC-Br/PBDB-T-2Cl,0.90112365224704,0.22424902419705006,1.4047556375764074
AQx/PTB7-Th,0.5972022532455954,0.6485561512816993,1.1508636067028277
AQx/PBDB-TF,0.8984115891282958,0.39641545740839934,1.4030043005761277
AQx/PDCBT-Cl,0.8141627301309056,0.5625137517535999,1.2369060062309272
AQx/P3HT,1.0838433252209052,0.5336424722155497,1.2657772857689773
AQx/PBDB-T,0.6269475416010359,0.572010525136049,1.227409232848478
AQx/PBDB-T-2Cl,0.8356084454037203,0.3291489135647998,1.4702708444197272
IDF-4F/PTB7-Th,0.7577704040992854,0.8875809575608997,0.9902954558491377
IDF-4F/PBDB-TF,1.0589797399819858,0.6354402636875998,1.2424361497224377
IDF-4F/PDCBT-Cl,0.9747308809845956,0.8015385580328003,1.0763378553772371
IDF-4F/P3HT,1.2444114760745952,0.7726672784947501,1.1052091349152873
IDF-4F/PBDB-T,0.787515692454726,0.8110353314152494,1.066841081994788
IDF-4F/PBDB-T-2Cl,0.9961765962574103,0.5681737198440002,1.3097026935660372
Y16/PTB7-Th,1.305326021626314,0.6068410980000492,0.44273983832210906
Y16/PBDB-TF,1.6065353575090144,0.3547004041267492,0.694880532195409
Y16/PDCBT-Cl,1.5222864985116242,0.5207986984719497,0.5287822378502085
Y16/P3HT,1.7919670936016239,0.4919274189338996,0.5576535173882586
Y16/PBDB-T,1.3350713099817546,0.5302954718543988,0.5192854644677594
Y16/PBDB-T-2Cl,1.543732213784439,0.28743386028314966,0.7621470760390086
DTG-IW/PTB7-Th,1.0702700642669285,0.6944889692460992,0.6777957956814946
DTG-IW/PBDB-TF,1.3714794001496289,0.4423482753727992,0.9299364895547946
DTG-IW/PDCBT-Cl,1.2872305411522387,0.6084465697179997,0.7638381952095941
DTG-IW/P3HT,1.5569111362422383,0.5795752901799496,0.7927094747476442
DTG-IW/PBDB-T,1.100015352622369,0.6179433431004488,0.7543414218271449
DTG-IW/PBDB-T-2Cl,1.3086762564250534,0.37508173152919966,0.9972030333983941
p-IO2/PTB7-Th,0.5272413426877014,0.3824288054927001,1.2208245172607217
p-IO2/PBDB-TF,0.8284506785704018,0.13028811161940013,1.4729652111340217
p-IO2/PDCBT-Cl,0.7442018195730116,0.29638640596460064,1.3068669167888212
p-IO2/P3HT,1.0138824146630112,0.2675151264265505,1.3357381963268713
