Molecule,Smiles,Pi system size (# atoms)
NITV,C1(=[C]C(=C(S1)/[C]=[C]/C1=C([C]=C(/[C]=C\2/C3=C4C(=[C][C]=C5C4=C([C]=[C]3)C(=O)N(C5=O)[C][C]([C])[C])C2=O)S1)[C][C]([C])[C])[C][C]([C])[C])/[C]=C\1/C2=C3C(=[C][C]=C4C3=C([C]=[C]2)C(=O)N(C4=O)[C][C]([C])[C])C1=O,50
Y5,C1(=O)C2=[C][C]=[C][C]=C2C(=C(C#N)C#N)/C/1=[C]/c1sc2c(c1[C][C])sc1c2n([C][C])c2c1c1nsnc1c1c2n([C][C])c2c1sc1c2sc(c1[C][C])/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=[C][C]=[C]2)C1=O,59
Y1,C1(=O)C2=[C][C]=[C][C]=C2C(=C(C#N)C#N)/C/1=[C]/C1=[C]c2c(S1)c1c(s2)c2c(n1[C][C]([C][C])[C][C][C][C])c1c(c3c2nn([C][C]([C][C])[C][C][C][C])n3)c2c(n1[C][C]([C][C])[C][C][C][C])c1c(s2)[C]=C(S1)/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=[C][C]=[C]2)C1=O,59
SeTIC4Cl,C12=C([C]=C3C(=[C]1)C(c1c3[se]c3c1SC(=[C]3)/[C]=C\1/C(=C(C#N)C#N)C3=C(C1=O)[C]=C(C(=[C]3)Cl)Cl)(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C])C(c1c2[se]c2c1SC(=[C]2)/[C]=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=C(C(=[C]2)Cl)Cl)(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C],54
p-IO1,C1(=O)C2=[C]C(=C([C]=C2C(=C(C#N)C#N)/C/1=[C]/C1=[C]C(=C(S1)C1=[C]C2=C(S1)C1=C(C2(C2=[C][C]=C([C]=[C]2)[C])C2=[C][C]=C([C]=[C]2)[C])[C]=C2C(=[C]1)C(C1=C2SC(=[C]1)C1=C([C]=C(S1)/[C]=C/1\C(=O)C2=[C]C(=C([C]=C2C1=C(C#N)C#N)F)F)[C][C]([C])[C])(C1=[C][C]=C([C]=[C]1)[C])C1=[C][C]=C([C]=[C]1)[C])O[C][C]([C])[C])F)F,59
IDF-4F,[C](=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=C(C(=[C]2)F)F)\C1=[C]C2=C(O1)C1=C(C2(C2=[C][C]=C([C]=[C]2)[C][C])C2=[C][C]=C([C]=[C]2)[C][C])[C]=C2C(=[C]1)C(C1=C2OC(=[C]1)/[C]=C\1/C(=C(C#N)C#N)C2=C(C1=O)[C]=C(C(=[C]2)F)F)(C1=[C][C]=C([C]=[C]1)[C][C])C1=[C][C]=C([C]=[C]1)[C][C],48
ITIC-Th,C1(=O)C2=C([C]=[C][C]=[C]2)C(=C(C#N)C#N)/C/1=[C]/C1=[C]c2c(S1)c1C(C3=[C][C]=C([C][C])S3)(C3=[C][C]=C([C][C])S3)C3=C(c1s2)[C]=C1C(C2=[C][C]=C([C][C])S2)(C2=[C][C]=C([C][C])S2)c2c(C1=[C]3)sc1c2SC(=[C]1)/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=[C][C]=[C]2)C1=O,54
o-IO1,C1(=O)C2=[C]C(=C([C]=C2C(=C(C#N)C#N)/C/1=[C]/C1=[C]C(=C(S1)C1=[C]C2=C(S1)C1=C(C2([C][C])[C][C])[C]=C2C(=[C]1)C(C1=C2SC(=[C]1)C1=C([C]=C(S1)/[C]=C/1\C(=O)C2=[C]C(=C([C]=C2C1=C(C#N)C#N)F)F)[C][C]([C][C])[C])([C][C])[C][C])O[C][C]([C][C])[C])F)F,59
H2,C1(=O)C2=[C][C]=C(Cl)[C]=C2C(=C(C#N)C#N)/C/1=[C]/c1sc2c(c1[C][C])sc1c2n([C][C]([C][C])[C][C])c2c1c1nsnc1c1c2n([C][C]([C][C])[C][C])c2c1sc1c2sc(c1[C][C])/[C]=C\1/C(=C(C#N)C#N)C2=C([C]=[C]C(=[C]2)Cl)C1=O,59
IDIC,C12=C([C]=C3C(=[C]1)C(C1=C3SC(=[C]1)/[C]=C/1\C(=O)C3=C(C1=C(C#N)C#N)[C]=[C][C]=[C]3)([C][C])[C][C])C(C1=C2SC(=[C]1)/[C]=C/1\C(=O)C2=C(C1=C(C#N)C#N)[C]=[C][C]=[C]2)([C][C])[C][C],48
