Acceptor,Donor,sTDDFTLUMO,sTDDFTHOMO,sTDDFTdeltaLUMO,sTDDFTdeltaHOMO,sTDDFToptbg,sTDDFToscs,sTDDFTfundbg,sTDDFTsinglepointenergy,sTDDFTdipolemoment,sTDDFTsummedoscs,sTDDFTabsFOM,sTDDFTScharberVoc,sTDDFTScharberJscDon,sTDDFTScharberJscAcc,sTDDFTScharberJscTot,sTDDFTScharberPCETot,sTDDFTScharberPCEAcc,sTDDFTScharberPCEDon,donsTDDFTLUMO,donsTDDFTHOMO,donsTDDFTdeltaLUMO,donsTDDFTdeltaHOMO,donsTDDFToptbg,donsTDDFToscs,donsTDDFTfundbg,donsTDDFTsinglepointenergy,donsTDDFTdipolemoment,donsTDDFTsummedoscs,donsTDDFTabsFOM,sTDDFTDHomoALumoOffset,sTDDFTaccElectrophilicity,sTDDFTAccChemHard,sTDDFTAccElectrodonating,sTDDFTAccElectroaccepting,sTDDFTDonChemHard,sTDDFTDonElectrodonating,sTDDFTDonElectroaccepting,sTDDFTdonElectrophilicity,sTDDFTHOMOoffset,sTDDFTLUMOoffset,Planarity,PiSystemSize,sTDDFTdonlowestengtranseV,sTDDFTdonlowestengtranswavenumber,sTDDFTdonfirstengtranseV,sTDDFTdonfirstengtranswavenumber,sTDDFTdonfirstoscs,sTDDFTacclowestengtranseV,sTDDFTacclowestengtranswavenumber,sTDDFTaccfirstengtranseV,sTDDFTaccfirstengtranswavenumber,sTDDFTaccfirstoscs,sTDDFTacchighestoscsunderten,sTDDFTdonhighestoscsunderten,ScharberFF,ExperimentalFF,ExperimentalVoc,ExperimentalJsc,ExperimentalPCE
BTA53,PDCBT-2F,-2.43,-6.34,0.23,0.79,2.151482840706209,2.705924107,3.9099999999999997,-5395.350663461169,14.23935,5.192922022999999,15.93279167782196,3.68,5.007148525382501,7.502501061308191,12.509649586690692,29.923081811364135,17.945982538649194,11.977099272714943,-2.23,-6.41,0.3200000000000001,0.29000000000000004,2.3891464987105735,4.0432505569999995,4.18,-8854.498196663628,18.689510000000002,5.974315108000001,7.115365357337444,3.98,4.917704603580563,3.9099999999999997,7.354579603580563,2.9695796035805633,4.18,6.885938995215312,2.565938995215311,4.464688995215312,0.07000000000000028,0.20000000000000018,1.4318487991277358,60,2.389082202,19269.9,2.389082202,19269.9,4.0432505569999995,2.15142494,17353.0,2.15142494,17353.0,2.705924107,2.705924107,4.0432505569999995,0.65,,,,
BTA53,PBDB-T-2Cl,-2.43,-6.34,0.23,0.79,2.151482840706209,2.705924107,3.9099999999999997,-5395.350663461169,14.23935,5.192922022999999,15.93279167782196,3.4099999999999997,5.517483362398773,7.502501061308191,13.019984423706964,28.858795475146483,16.629293602389605,12.22950187275688,-1.96,-6.14,0.1299999999999999,0.11000000000000032,2.331395060503868,0.283931444,4.18,-17879.618020185568,2.2014099999999996,12.985482327,50.146237991126526,3.7099999999999995,4.917704603580563,3.9099999999999997,7.354579603580563,2.9695796035805633,4.18,6.2102930622009564,2.160293062200957,3.924043062200957,0.20000000000000018,0.4700000000000002,1.4318487991277358,60,2.5710724439999995,20737.8,2.3313323179999994,18804.1,0.283931444,2.15142494,17353.0,2.15142494,17353.0,2.705924107,2.705924107,1.8182476159999998,0.65,,,,
BTA53,PBN-S,-2.43,-6.34,0.23,0.79,2.151482840706209,2.705924107,3.9099999999999997,-5395.350663461169,14.23935,5.192922022999999,15.93279167782196,3.52,5.133045086172141,7.502501061308191,12.635546147480332,28.910129585434998,17.165722428273142,11.74440715716186,-2.12,-6.25,0.10000000000000007,0.13999999999999968,2.3716896449117235,0.218227421,4.13,-17143.844153452093,6.44399,13.714828551999998,45.98916704269935,3.82,4.917704603580563,3.9099999999999997,7.354579603580563,2.9695796035805633,4.13,6.591357445520582,2.4063574455205807,4.240732445520582,0.08999999999999986,0.31000000000000005,1.4318487991277358,60,2.50414804,20198.0,2.371625818,19129.1,0.218227421,2.15142494,17353.0,2.15142494,17353.0,2.705924107,2.705924107,2.7696043610000003,0.65,,,,
BTA53,J71,-2.43,-6.34,0.23,0.79,2.151482840706209,2.705924107,3.9099999999999997,-5395.350663461169,14.23935,5.192922022999999,15.93279167782196,3.18,4.7719452505417035,7.502501061308191,12.274446311849895,25.371280526593733,15.507669693724031,9.863610832869702,-1.76,-5.91,0.3200000000000001,0.21999999999999972,2.415988891093037,3.435330346,4.15,-15406.50274289559,4.04634,10.76941207,26.194578388471605,3.48,4.917704603580563,3.9099999999999997,7.354579603580563,2.9695796035805633,4.15,5.720784638554218,1.8857846385542172,3.5439096385542164,0.4299999999999997,0.6700000000000002,1.4318487991277358,60,2.415923872,19486.4,2.415923872,19486.4,3.435330346,2.15142494,17353.0,2.15142494,17353.0,2.705924107,2.705924107,3.435330346,0.65,,,,
BTA53,PBDB-T-SF,-2.43,-6.34,0.23,0.79,2.151482840706209,2.705924107,3.9099999999999997,-5395.350663461169,14.23935,5.192922022999999,15.93279167782196,3.2500000000000004,7.189409717688991,7.502501061308191,14.691910778997183,31.036661520631554,15.849033492013557,15.187628028617995,-1.98,-5.98,0.09000000000000008,0.09999999999999963,2.1783624280896645,0.14610088,4.0,-18106.00965473941,3.00659,14.24515589,62.75526667518831,3.5500000000000003,4.917704603580563,3.9099999999999997,7.354579603580563,2.9695796035805633,4.0,6.200100000000001,2.2201,3.960100000000001,0.35999999999999943,0.4500000000000002,1.4318487991277358,60,2.396248246,19327.7,2.178303804,17569.8,0.14610088,2.15142494,17353.0,2.15142494,17353.0,2.705924107,2.705924107,0.880102012,0.65,,,,
BTA53,PDBT-T1,-2.43,-6.34,0.23,0.79,2.151482840706209,2.705924107,3.9099999999999997,-5395.350663461169,14.23935,5.192922022999999,15.93279167782196,3.2399999999999998,5.048874370412561,7.502501061308191,12.551375431720752,26.4331966592039,15.800267235115049,10.632929424088852,-1.77,-5.97,0.1100000000000001,0.11000000000000032,2.3825133902003572,0.842805392,4.199999999999999,-17967.99590191805,2.2422400000000002,13.443344381000006,40.16131844440885,3.5399999999999996,4.917704603580563,3.9099999999999997,7.354579603580563,2.9695796035805633,4.199999999999999,5.763428571428572,1.8934285714285721,3.565928571428572,0.3700000000000001,0.6600000000000001,1.4318487991277358,60,2.541490816,20499.2,2.3824492719999997,19216.4,0.842805392,2.15142494,17353.0,2.15142494,17353.0,2.705924107,2.705924107,3.4475434139999996,0.65,,,,
BTA53,PCl4BDB-T,-2.43,-6.34,0.23,0.79,2.151482840706209,2.705924107,3.9099999999999997,-5395.350663461169,14.23935,5.192922022999999,15.93279167782196,3.3000000000000003,7.055129848476706,7.502501061308191,14.557630909784898,31.226118301488608,16.092864776506072,15.133253524982536,-2.02,-6.03,0.18999999999999995,0.16999999999999993,2.189136580043642,0.10076535699999999,4.01,-17879.613301448404,1.23779,12.981631599000002,42.557471130429825,3.6,4.917704603580563,3.9099999999999997,7.354579603580563,2.9695796035805633,4.01,6.303181109725686,2.278181109725686,4.040056109725686,0.3099999999999996,0.41000000000000014,1.4318487991277358,60,2.589681842,20887.9,2.189077666,17656.7,0.10076535699999999,2.15142494,17353.0,2.15142494,17353.0,2.705924107,2.705924107,2.678934542,0.65,,,,
BTA53,PTB7-Th,-2.43,-6.34,0.23,0.79,2.151482840706209,2.705924107,3.9099999999999997,-5395.350663461169,14.23935,5.192922022999999,15.93279167782196,3.22,7.277138842750522,7.502501061308191,14.779639904058712,30.933786319194887,15.702734721318045,15.231051597876844,-2.05,-5.95,0.4199999999999999,0.3099999999999996,2.168530549494148,2.6916976910000003,3.9000000000000004,-11533.103933002294,13.02707,8.566758652999999,24.18064733284576,3.52,4.917704603580563,3.9099999999999997,7.354579603580563,2.9695796035805633,3.9000000000000004,6.346314102564103,2.346314102564102,4.102564102564102,0.3899999999999997,0.38000000000000034,1.4318487991277358,60,2.16847219,17490.5,2.16847219,17490.5,2.6916976910000003,2.15142494,17353.0,2.15142494,17353.0,2.705924107,2.705924107,2.6916976910000003,0.65,,,,
BTA53,FTAZ,-2.43,-6.34,0.23,0.79,2.151482840706209,2.705924107,3.9099999999999997,-5395.350663461169,14.23935,5.192922022999999,15.93279167782196,3.1999999999999997,4.731442027845098,7.502501061308191,12.23394308915329,25.446601625438838,15.605202207521035,9.841399417917803,-1.79,-5.93,0.17999999999999994,0.16000000000000014,2.4196959928585597,5.075779484,4.14,-9410.312718462876,11.64466,8.78473932,21.157306354257802,3.4999999999999996,4.917704603580563,3.9099999999999997,7.354579603580563,2.9695796035805633,4.14,5.7876871980676325,1.9276871980676331,3.598937198067633,0.41000000000000014,0.6400000000000001,1.4318487991277358,60,2.419630874,19516.3,2.419630874,19516.3,5.075779484,2.15142494,17353.0,2.15142494,17353.0,2.705924107,2.705924107,5.075779484,0.65,,,,
BTA53,PDCBT-Cl,-2.43,-6.34,0.23,0.79,2.151482840706209,2.705924107,3.9099999999999997,-5395.350663461169,14.23935,5.192922022999999,15.93279167782196,3.4099999999999997,5.048874370412561,7.502501061308191,12.551375431720752,27.820123644409044,16.629293602389605,11.190830042019442,-1.92,-6.14,0.25,0.2600000000000007,2.3818810751834953,4.076802804,4.22,-9402.575206581614,5.65723,5.183854525,6.835136982728328,3.7099999999999995,4.917704603580563,3.9099999999999997,7.354579603580563,2.9695796035805633,4.22,6.127304502369666,2.097304502369668,3.8485545023696677,0.20000000000000018,0.5100000000000002,1.4318487991277358,60,2.3818169739999995,19211.3,2.3818169739999995,19211.3,4.076802804,2.15142494,17353.0,2.15142494,17353.0,2.705924107,2.705924107,4.076802804,0.65,,,,
BTA53,P2,-2.43,-6.34,0.23,0.79,2.151482840706209,2.705924107,3.9099999999999997,-5395.350663461169,14.23935,5.192922022999999,15.93279167782196,3.4899999999999998,4.155882326876856,7.502501061308191,11.658383388185047,26.44704271609778,17.01942365757763,9.427619058520149,-2.05,-6.22,0.20999999999999971,0.11000000000000032,2.485717119619123,4.7539747210000005,4.17,-16905.950356579244,6.1365300000000005,12.104839638,26.17189741395175,3.7899999999999996,4.917704603580563,3.9099999999999997,7.354579603580563,2.9695796035805633,4.17,6.4284187649880105,2.2934187649880093,4.10029376498801,0.1200000000000001,0.38000000000000034,1.4318487991277358,60,2.485650224,20048.8,2.485650224,20048.8,4.7539747210000005,2.15142494,17353.0,2.15142494,17353.0,2.705924107,2.705924107,4.7539747210000005,0.65,,,,
BTA53,PBDB-T,-2.43,-6.34,0.23,0.79,2.151482840706209,2.705924107,3.9099999999999997,-5395.350663461169,14.23935,5.192922022999999,15.93279167782196,3.1199999999999997,6.967194681231387,7.502501061308191,14.469695742539578,29.344542965870264,15.215072152333011,14.129470813537253,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.4199999999999995,4.917704603580563,3.9099999999999997,7.354579603580563,2.9695796035805633,4.02,5.839309701492535,1.9993097014925374,3.668059701492538,0.4900000000000002,0.6000000000000001,1.4318487991277358,60,2.625226908,21174.6,2.196206516,17714.2,0.241128707,2.15142494,17353.0,2.15142494,17353.0,2.705924107,2.705924107,2.659886367,0.65,,,,
