,Acceptor,Donor,sTDDFTLUMO,sTDDFTHOMO,sTDDFTdeltaLUMO,sTDDFTdeltaHOMO,sTDDFToptbg,sTDDFToscs,sTDDFTfundbg,sTDDFTsinglepointenergy,sTDDFTdipolemoment,sTDDFTsummedoscs,sTDDFTabsFOM,sTDDFTScharberVoc,sTDDFTScharberJscDon,sTDDFTScharberJscAcc,sTDDFTScharberJscTot,sTDDFTScharberPCETot,sTDDFTScharberPCEAcc,sTDDFTScharberPCEDon,donsTDDFTLUMO,donsTDDFTHOMO,donsTDDFTdeltaLUMO,donsTDDFTdeltaHOMO,donsTDDFToptbg,donsTDDFToscs,donsTDDFTfundbg,donsTDDFTsinglepointenergy,donsTDDFTdipolemoment,donsTDDFTsummedoscs,donsTDDFTabsFOM,sTDDFTDHomoALumoOffset,sTDDFTaccElectrophilicity,sTDDFTAccChemHard,sTDDFTAccElectrodonating,sTDDFTAccElectroaccepting,sTDDFTDonChemHard,sTDDFTDonElectrodonating,sTDDFTDonElectroaccepting,sTDDFTdonElectrophilicity,sTDDFTHOMOoffset,sTDDFTLUMOoffset,Planarity,PiSystemSize,sTDDFTdonlowestengtranseV,sTDDFTdonlowestengtranswavenumber,sTDDFTdonfirstengtranseV,sTDDFTdonfirstengtranswavenumber,sTDDFTdonfirstoscs,sTDDFTacclowestengtranseV,sTDDFTacclowestengtranswavenumber,sTDDFTaccfirstengtranseV,sTDDFTaccfirstengtranswavenumber,sTDDFTaccfirstoscs,sTDDFTacchighestoscsunderten,sTDDFTdonhighestoscsunderten,ScharberFF,ExperimentalFF,ExperimentalVoc,ExperimentalJsc,ExperimentalPCE
157,Y6,J71,-2.79,-6.74,0.28000000000000025,0.9500000000000002,2.1008852410236063,2.301944449,3.95,-4971.629833699295,1.43994,6.3199884520000005,20.199236409435148,2.8200000000000003,4.771945250541704,8.138091865385189,12.910037115926892,23.664098033494,14.917122389251054,8.746975644242944,-1.76,-5.91,0.3200000000000001,0.21999999999999967,2.415988891093037,3.435330346,4.15,-15406.502742895591,4.04634,10.76941207,26.194578388471605,3.12,5.748158227848103,3.95,8.3775332278481,3.6125332278481017,4.15,5.720784638554218,1.8857846385542167,3.5439096385542164,0.8300000000000001,1.03,1.2045012410989109,59,2.415923872,19486.4,2.415923872,19486.4,3.435330346,2.100828702,16944.9,2.100828702,16944.9,2.301944449,2.301944449,3.435330346,0.65,53.6,0.87,20.54,9.6
175,Y6,PBDB-TF,-2.79,-6.74,0.28000000000000025,0.9500000000000002,2.1008852410236063,2.301944449,3.95,-4971.629833699295,1.43994,6.3199884520000005,20.199236409435148,2.95,5.9897904869356955,8.138091865385189,14.127882352320885,27.090214410575296,15.604791151876102,11.485423258699196,-1.99,-6.04,0.18999999999999995,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.25,5.748158227848103,3.95,8.3775332278481,3.6125332278481017,4.05,6.240927469135803,2.2259274691358018,3.9803024691358018,0.7000000000000002,0.8,1.2045012410989109,59,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.100828702,16944.9,2.100828702,16944.9,2.301944449,2.301944449,2.257052621,0.65,74.8,0.83,25.3,15.7
197,M34,PBDB-TF,-2.76,-6.65,0.2799999999999998,0.7599999999999998,2.0408401110890693,1.827808822,3.890000000000001,-4615.655397969913,5.29703,6.2827740510000005,25.6493039919628,2.9800000000000004,5.9897904869356955,8.921137717815391,14.910928204751086,28.882467932602854,17.280243759408414,11.602224173194443,-1.99,-6.04,0.18999999999999995,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.28,5.690751928020566,3.890000000000001,8.286376928020562,3.581376928020565,4.05,6.240927469135803,2.2259274691358018,3.9803024691358018,0.6100000000000003,0.7699999999999998,0.875022315348404,58,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.040785188,16460.6,2.040785188,16460.6,1.827808822,1.827808822,2.257052621,0.65,70.66,0.91,23.63,15.24
219,SeTIC,PBDB-TF,-2.6,-6.55,0.25,0.8500000000000005,2.050250446340012,1.656249514,3.95,-8966.37482675269,1.02902,5.651650036,16.949944756244903,3.14,5.9897904869356955,8.779289146406706,14.769079633342402,30.143691531651847,17.91852914781609,12.225162383835752,-1.99,-6.04,0.18999999999999995,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.44,5.298892405063293,3.95,7.8332674050632916,3.258267405063292,4.05,6.240927469135803,2.2259274691358018,3.9803024691358018,0.5099999999999998,0.6100000000000001,2.1325436169222307,54,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.05019527,16536.5,2.05019527,16536.5,1.656249514,1.656249514,2.257052621,0.65,51.0,0.95,15.45,7.46
253,CPDT-4Cl,PBDB-T,-2.89,-6.64,0.3999999999999999,0.92,1.8946637571910332,2.025705507,3.75,-5798.485012735728,7.2198600000000015,5.400900097999999,20.56165253947636,2.66,6.967194681231388,11.146872107054342,18.114066788285733,31.31922147694603,19.27294187309696,12.046279603849067,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,2.9599999999999995,6.054726666666667,3.75,8.671601666666666,3.9066016666666665,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.79,1.06,1.061169743971015,52,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,1.8946127680000002,15281.6,1.8946127680000002,15281.6,2.025705507,2.025705507,2.659886367,0.65,66.8,0.65,21.3,9.28
275,Y5,PBDB-T,-2.56,-6.52,0.2200000000000002,0.9600000000000009,2.083663955564372,1.574573796,3.96,-4575.073884205068,2.95668,5.97587582,21.104776586561094,2.99,6.967194681231388,8.363417844445753,15.33061252567714,29.79504544365352,16.25430258068032,13.540742862973199,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.29,5.2049494949494965,3.96,7.722449494949495,3.1824494949494957,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.6699999999999999,0.73,1.4292168496578217,59,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,2.08360788,16806.0,2.08360788,16806.0,1.574573796,1.574573796,2.659886367,0.65,70.2,0.88,22.8,14.1
297,BTTPC,PBDB-T,-2.56,-6.54,0.21,0.9500000000000002,2.1388613370363023,2.344992327,3.98,-5523.466007500807,7.610010000000001,6.809155565,20.806280005124933,2.99,6.967194681231388,7.637012876408442,14.604207557639828,28.383277388273005,14.842534525299806,13.540742862973199,-1.83,-5.85,0.16000000000000014,0.29000000000000004,2.1962656219004164,0.241128707,4.02,-15122.809191764587,2.34005,12.751957815,44.747319950918076,3.29,5.201633165829144,3.98,7.725383165829146,3.175383165829145,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.6900000000000004,0.73,1.2240959663216644,65,2.625226908,21174.6,2.1962065159999997,17714.2,0.241128707,2.138803776,17251.2,2.138803776,17251.2,2.344992327,2.344992327,2.659886367,0.65,73.0,0.89,22.25,14.51
329,BTP-PhC6,PBDB-TF,-2.71,-6.62,0.31000000000000005,0.8799999999999999,2.0631447133505256,1.6396739130000002,3.91,-5707.948238177581,7.52913,6.6720649320000005,26.65495416562512,3.03,5.9897904869356955,8.639401943084222,14.629192430019918,28.81219449092423,17.01530212690438,11.796892364019852,-1.99,-6.04,0.18999999999999995,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.33,5.565786445012788,3.91,8.142661445012788,3.4776614450127874,4.05,6.240927469135803,2.2259274691358018,3.9803024691358018,0.5800000000000001,0.72,2.0410327458112727,71,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.06308919,16640.5,2.06308919,16640.5,1.6396739130000002,1.6396739130000002,2.257052621,0.65,77.0,0.865,25.0,16.7
337,o-IO1,PTB7-Th,-2.68,-6.45,0.10000000000000007,0.7999999999999998,2.0281814124181707,2.420328928,3.77,-5055.684838535482,7.78513,6.0543999,17.882789650053986,2.97,7.277138842750522,9.109474350185367,16.38661319293589,31.634356768962736,17.585840233032854,14.048516535929885,-2.05,-5.95,0.4199999999999999,0.3099999999999996,2.168530549494148,2.6916976910000003,3.9,-11533.103933002294,13.02707,8.566758652999999,24.18064733284576,3.27,5.527645888594165,3.77,8.045770888594165,3.480770888594165,3.9,6.3463141025641026,2.346314102564102,4.102564102564102,0.5,0.6300000000000003,1.2671510308331333,59,2.16847219,17490.5,2.16847219,17490.5,2.6916976910000003,2.02812683,16358.5,2.02812683,16358.5,2.420328928,2.420328928,2.6916976910000003,0.65,67.0,0.74,26.3,13.1
353,TPIC-4Cl,PBDB-T-2Cl,-2.73,-6.65,0.3300000000000001,0.8599999999999994,2.1265125967070024,3.016952744,3.92,-6533.384605850111,3.52486,6.1896721060000015,14.04154281199723,3.11,5.517483362398774,7.823512322242732,13.340995684641507,26.9688227765028,15.815230159413685,11.153592617089119,-1.96,-6.14,0.1299999999999999,0.11000000000000032,2.3313950605038682,0.283931444,4.18,-17879.618020185568,2.20141,12.985482327,50.146237991126526,3.41,5.61125,3.92,8.201250000000002,3.5112499999999995,4.18,6.2102930622009564,2.1602930622009566,3.924043062200957,0.5100000000000007,0.77,1.9556833236340967,54,2.5710724439999995,20737.8,2.3313323179999994,18804.1,0.283931444,2.126455368,17151.6,2.126455368,17151.6,3.016952744,3.016952744,1.818247616,0.65,75.7,0.885,22.89,15.4
