Donor,Don HOMO (eV),Don calc LUMO (eV),Don fund bandgap (eV),Don Ehomo - Ehomo-1,Don Elumo+1 - Elumo
PTB7-Th,-4.991112245871,-2.983152515658741,2.007959730212259,0.34425123226754994,0.5647178739426502
PBDB-TF,-5.2432529397443,-2.8824738284568574,2.3607791112874428,0.3944834490698499,0.28890327507585
PDCBT-Cl,-5.0771546453991,-2.867883171485194,2.2092714739139057,0.43921896609205024,0.3736395281215499
P3HT,-5.10602592493715,-2.0960700630049938,3.009955861932156,0.3436253704114005,0.26267149988765026
PBDB-T,-5.0676578720166505,-3.015882430635972,2.0517754413806784,0.15654709819264934,0.18618029651209955
PBDB-T-2Cl,-5.3105194835879,-2.8813883588110696,2.42913112477683,0.3627277627165002,0.2762227696425499
