Molecule,First transition energy (cm-1),wavelength (nm),Oscillator Strength,Sum of Osc. Strentghs,optical bandgap (1/cm),first oscs,highest oscs under 10,lowest transtion eV,lowest transtion wavenumber
F-2F,15799.7,632.9234099381633,2.602928609,5.554848315999999,15799.7,2.602928609,2.602928609,1.9589130543352333,15799.7
BTSe-4F,13498.9,740.8011023120403,0.136668657,3.9675700300000005,13498.9,0.136668657,0.543117331,1.9778454406081998,15952.4
O-IDTBR,13330.5,750.1594088743858,3.170693708,5.387237723,13330.5,3.170693708,3.170693708,1.65277128494945,13330.5
ITIC,14458.4,691.6394621811543,1.900392916,3.616771533,14458.4,1.900392916,1.900392916,1.7926130562479374,14458.4
ITCC,14916.3,670.4075407440183,1.131976958,4.038226248,14916.3,1.131976958,1.205411881,2.1996159666491644,17741.1
i-cc34,21220.3,471.24687209888646,2.441638734,3.0610165209999995,9589.8,0.012132666,2.441638734,2.630981770977294,21220.3
CPDT-4F,14669.9,681.6679050300274,3.885585669,6.160656512999999,14669.9,3.885585669,3.885585669,1.8188357130700228,14669.9
BDTN-BF,13951.7,716.7585312184178,1.841064489,5.986134285999999,13951.7,1.841064489,1.841064489,1.7297902656486437,13951.7
NIBT,9996.6,1000.3401156393173,1.473899888,5.312204021,9996.6,1.473899888,1.473899888,1.239420383865997,9996.6
M8,14393.3,694.7677044180278,2.413147293,6.2482114310000005,14393.3,2.413147293,2.413147293,1.7845416852828415,14393.3
Y1,13822.6,723.4528959819426,1.340642233,5.312297128,13822.6,1.340642233,1.340642233,1.7137839063307656,13822.6
SNBDT1-F,13626.6,733.8587762171047,1.381809614,5.5161145650000005,13626.6,1.381809614,1.381809614,1.6894830045003697,13626.6
IDTCF,16277.2,614.3562774924434,3.817446601,5.443178692,16277.2,3.817446601,3.817446601,2.01811550649857,16277.2
PC70BM,28162.3,355.0846344226146,0.103588343,0.6287956500000002,16271.0,0.005264607,0.034029266,2.4193655503440303,19513.5
N65-2FIC,13678.4,731.0796584395836,2.071052211,4.040534859,13678.4,2.071052211,2.071052211,1.6959053856984028,13678.4
PCBM,28862.2,346.4739347658876,0.012382675,0.116802246,15127.1,0.002280405,0.002621449,2.332403037365256,18812.1
IDIC,17057.0,586.2695667467901,3.229264882,5.564648153,17057.0,3.229264882,3.229264882,2.1147983802095025,17057.0
TPIC,14299.8,699.3104798668513,2.184577599,4.100471328999999,14299.8,2.184577599,2.184577599,1.7729491632361987,14299.8
F-H,15682.8,637.6412375341139,2.111515332,5.436671279,15682.8,2.111515332,2.111515332,1.9444193021721041,15682.8
IT-4F,14899.7,671.1544527742169,2.526833428,4.4082395629999995,14899.7,2.526833428,2.526833428,1.8473272806242318,14899.7
Y2,14353.5,696.6941860870171,2.551693364,6.040608701000001,14353.5,2.551693364,2.551693364,1.779607114400955,14353.5
SeTIC4Cl,14499.1,689.6979812540088,2.49235656,4.486258515000001,14499.1,2.49235656,2.49235656,1.797659212903535,14499.1
TPIC-4F,15036.9,665.0306911663973,3.09980717,4.934197435000001,15036.9,3.09980717,3.09980717,1.8643379119055088,15036.9
PBDB-TF,18562.3,538.7263431794552,1.026333965,3.942156831,18562.3,1.026333965,1.026333965,2.3014317859508027,18562.3
PDCBT-Cl,16543.1,604.481626780954,2.79360407,4.423658911,16543.1,2.79360407,2.79360407,2.0510829034205202,16543.1
PTB7-Th,14099.2,709.260099863822,2.692592903,6.262353103999999,14099.2,2.692592903,2.692592903,1.7480779341179467,14099.2
P3HT,18951.1,527.6738553434893,2.845209299,3.6980548510000006,18951.1,2.845209299,2.845209299,2.349636840193955,18951.1
PBDB-T,14956.5,668.6056229732892,0.822599803,6.190463418,14956.5,0.822599803,0.981181348,2.1657186882796227,17467.7
PBDB-T-2Cl,18598.3,537.6835517224692,1.064603593,3.909146621,18598.3,1.064603593,1.064603593,2.305895216899243,18598.3
