Donor/acceptor pair,FOM 1.5G AM
PDCBT-Cl_tetra and o-IO2,40.733336829410355
PTB7-Th and o-IO2,57.301820127600266
P3HT and o-IO2,35.101291040547544
PBDB-T_tetra and o-IO2,70.72965767874484
PBDB-T-2Cl_dimer and o-IO2,43.30729255257194
PBDB-TF_dimer and IDST-4F,42.35072543200009
PDCBT-Cl_tetra and IDST-4F,39.74020609848191
PTB7-Th and IDST-4F,56.308689396671774
P3HT and IDST-4F,34.10816030961909
PBDB-T_tetra and IDST-4F,69.73652694781632
PBDB-T-2Cl_dimer and IDST-4F,42.314161821643516
PBDB-TF_dimer and BDTN-Th,54.99882592521364
PDCBT-Cl_tetra and BDTN-Th,52.388306591695546
PTB7-Th and BDTN-Th,68.95678988988537
P3HT and BDTN-Th,46.75626080283269
PBDB-T_tetra and BDTN-Th,82.38462744102989
PBDB-T-2Cl_dimer and BDTN-Th,54.96226231485709
PBDB-TF_dimer and IDTT-TBTA,37.064856397188024
PDCBT-Cl_tetra and IDTT-TBTA,34.454337063669946
PTB7-Th and IDTT-TBTA,51.02282036185979
P3HT and IDTT-TBTA,28.822291274807096
PBDB-T_tetra and IDTT-TBTA,64.4506579130043
PBDB-T-2Cl_dimer and IDTT-TBTA,37.02829278683152
PBDB-TF_dimer and BTP-4Cl,50.627228697153114
PDCBT-Cl_tetra and BTP-4Cl,48.01670936363497
PTB7-Th and BTP-4Cl,64.58519266182485
P3HT and BTP-4Cl,42.38466357477213
PBDB-T_tetra and BTP-4Cl,78.01303021296938
PBDB-T-2Cl_dimer and BTP-4Cl,50.590665086796506
PBDB-TF_dimer and ZY-4Cl,48.06726655322739
PDCBT-Cl_tetra and ZY-4Cl,45.456747219709236
PTB7-Th and ZY-4Cl,62.02523051789909
P3HT and ZY-4Cl,39.824701430846396
PBDB-T_tetra and ZY-4Cl,75.45306806904362
PBDB-T-2Cl_dimer and ZY-4Cl,48.030702942870846
PBDB-TF_dimer and EH-IDTBR,45.16976475735053
PDCBT-Cl_tetra and EH-IDTBR,42.55924542383238
PTB7-Th and EH-IDTBR,59.127728722022255
P3HT and EH-IDTBR,36.92719963496952
PBDB-T_tetra and EH-IDTBR,72.55556627316673
PBDB-T-2Cl_dimer and EH-IDTBR,45.133201146993926
PBDB-TF_dimer and BTN-4F,41.40674804794367
PDCBT-Cl_tetra and BTN-4F,38.79622871442555
PTB7-Th and BTN-4F,55.36471201261546
P3HT and BTN-4F,33.16418292556271
PBDB-T_tetra and BTN-4F,68.79254956375995
PBDB-T-2Cl_dimer and BTN-4F,41.37018443758713
PBDB-TF_dimer and BCDT-4F,40.89461539511947
PDCBT-Cl_tetra and BCDT-4F,38.284096061601325
PTB7-Th and BCDT-4F,54.85257935979117
P3HT and BCDT-4F,32.65205027273845
PBDB-T_tetra and BCDT-4F,68.28041691093574
PBDB-T-2Cl_dimer and BCDT-4F,40.85805178476291
PBDB-TF_dimer and FDICTF,44.77404369740024
PDCBT-Cl_tetra and FDICTF,42.16352436388205
PTB7-Th and FDICTF,58.7320076620719
P3HT and FDICTF,36.531478575019236
PBDB-T_tetra and FDICTF,72.15984521321641
PBDB-T-2Cl_dimer and FDICTF,44.737480087043664
PBDB-TF_dimer and Y1-4F,46.285818635667454
PDCBT-Cl_tetra and Y1-4F,43.67529930214934
PTB7-Th and Y1-4F,60.243782600339166
P3HT and Y1-4F,38.04325351328645
PBDB-T_tetra and Y1-4F,73.6716201514838
PBDB-T-2Cl_dimer and Y1-4F,46.24925502531096
PBDB-TF_dimer and BTCIC-4Cl,39.486235516600374
PDCBT-Cl_tetra and BTCIC-4Cl,36.8757161830823
PTB7-Th and BTCIC-4Cl,53.44419948127212
P3HT and BTCIC-4Cl,31.243670394219418
PBDB-T_tetra and BTCIC-4Cl,66.87203703241669
PBDB-T-2Cl_dimer and BTCIC-4Cl,39.449671906243864
PBDB-TF_dimer and NIDT,55.749709297475334
PDCBT-Cl_tetra and NIDT,53.13918996395713
PTB7-Th and NIDT,69.70767326214698
P3HT and NIDT,47.50714417509428
PBDB-T_tetra and NIDT,83.1355108132916
PBDB-T-2Cl_dimer and NIDT,55.71314568711868
PBDB-TF_dimer and BCDT-4Cl,41.790081221875425
PDCBT-Cl_tetra and BCDT-4Cl,39.17956188835729
PTB7-Th and BCDT-4Cl,55.74804518654716
P3HT and BCDT-4Cl,33.547516099494466
PBDB-T_tetra and BCDT-4Cl,69.17588273769164
PBDB-T-2Cl_dimer and BCDT-4Cl,41.7535176115189
PBDB-TF_dimer and p-IO1,53.712158692203815
PDCBT-Cl_tetra and p-IO1,51.10163935868566
PTB7-Th and p-IO1,67.6701226568755
P3HT and p-IO1,45.46959356982281
PBDB-T_tetra and p-IO1,81.09796020802003
PBDB-T-2Cl_dimer and p-IO1,53.67559508184724
PBDB-TF_dimer and BTA3,50.28600170364508
PDCBT-Cl_tetra and BTA3,47.675482370127014
PTB7-Th and BTA3,64.24396566831676
P3HT and BTA3,42.043436581264054
PBDB-T_tetra and BTA3,77.67180321946124
PBDB-T-2Cl_dimer and BTA3,50.2494380932885
PBDB-TF_dimer and BTTPC-Br,50.99738873459249
PDCBT-Cl_tetra and BTTPC-Br,48.38686940107436
PTB7-Th and BTTPC-Br,64.95535269926408
P3HT and BTTPC-Br,42.75482361221144
PBDB-T_tetra and BTTPC-Br,78.38319025040873
PBDB-T-2Cl_dimer and BTTPC-Br,50.96082512423588
PBDB-TF_dimer and AQx,53.57817088915314
PDCBT-Cl_tetra and AQx,50.96765155563504
PTB7-Th and AQx,67.53613485382483
P3HT and AQx,45.335605766772154
PBDB-T_tetra and AQx,80.96397240496947
PBDB-T-2Cl_dimer and AQx,53.54160727879658
PBDB-TF_dimer and IDF-4F,46.45505133715139
