Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,optical bandgap (cm-1),oscillator strength,single point energy,dipole moment (debye),summed oscs,Abs FOM,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber
NIBT,-6.92,-5.57,-2.74,-2.22,1.3499999999999996,0.52,8663.4,0.95418173,-6144.072194301139,10.6203,5.1687649449999995,19.742716260198005,0.95418173,0.95418173,1.0740883319999999,8663.4,1.0740883319999999,8663.4
M8,-7.48,-6.54,-2.71,-2.39,0.9400000000000004,0.31999999999999984,15944.4,2.069075179,-3969.753717247055,5.43693,5.917968349,22.129850361177105,2.069075179,2.069075179,1.9767867119999998,15944.4,1.9767867119999998,15944.4
Y1,-7.21,-6.37,-2.6,-2.3,0.8399999999999999,0.30000000000000027,15440.0,1.208614406,-4860.409869192878,2.23404,5.929636313,22.044897326983634,1.208614406,1.208614406,1.9142511999999998,15440.0,1.9142511999999998,15440.0
SNBDT1-F,-7.16,-6.38,-2.54,-2.24,0.7800000000000002,0.2999999999999998,16071.5,1.673317906,-4731.447969287494,6.62817,5.859359592000001,21.463019797362996,1.673317906,1.673317906,1.9925445699999997,16071.5,1.9925445699999997,16071.5
IDTCF,-7.67,-7.04,-2.98,-2.48,0.6299999999999999,0.5,18090.9,3.024650155,-3125.185909825484,1.1231,3.6984237010000003,11.447733120709552,3.024650155,3.024650155,2.242909782,18090.9,2.242909782,18090.9
PC70BM,-7.13,-6.87,-2.49,-2.43,0.2599999999999998,0.06000000000000005,17020.9,0.109637495,-3279.356530053641,3.93151,3.058718395,8.878856332726405,0.004644532,0.109637495,2.110251182,17020.9,2.51152485,20257.5
N65-2FIC,-7.53,-6.53,-2.76,-2.44,1.0,0.31999999999999984,15597.5,1.847147489,-5549.003434849148,9.74109,5.756769586999999,19.776781658681976,1.847147489,1.847147489,1.93377805,15597.5,1.93377805,15597.5
PCBM,-7.25,-7.05,-2.47,-2.38,0.20000000000000018,0.0900000000000003,16939.1,0.21759056,-2898.711010320586,3.98056,2.018820033,0.9749483211322808,0.004321959,0.004321959,2.100109618,16939.1,2.100109618,16939.1
IDIC,-7.82,-6.91,-2.71,-2.21,0.9100000000000001,0.5,18578.9,2.667310695,-3088.393968163678,0.14746,5.276402747,13.148088786390968,2.667310695,2.667310695,2.303412022,18578.9,2.303412022,18578.9
TPIC,-7.28,-6.35,-2.47,-2.17,0.9300000000000006,0.30000000000000027,16155.5,1.882984091,-4695.488599800135,2.3725,5.607820145000001,19.609606282420224,1.882984091,1.882984091,2.00295889,16155.5,2.00295889,16155.5
F-H,-7.39,-6.68,-2.49,-2.24,0.71,0.25,18268.4,1.857510444,-3514.242386623433,7.23637,5.562904147,20.73053560975178,1.857510444,1.857510444,2.264916232,18268.4,2.264916232,18268.4
IT-4F,-7.54,-6.71,-2.75,-2.44,0.8300000000000001,0.31000000000000005,17050.0,2.36664284,-5356.317185468705,3.9512,5.876048302,18.541794129557438,2.36664284,2.36664284,2.1138589999999997,17050.0,2.1138589999999997,17050.0
Y2,-7.27,-6.4,-2.63,-2.33,0.8699999999999992,0.2999999999999998,15818.6,2.165804549,-4795.233587807502,7.24878,6.097175398,19.23596628014716,2.165804549,2.165804549,1.9611900279999999,15818.6,1.9611900279999999,15818.6
SeTIC4Cl,-7.48,-6.66,-2.74,-2.44,0.8200000000000003,0.30000000000000027,16709.0,2.288387579,-10804.23215345422,5.3642,5.889327805000001,19.810310608407104,2.288387579,2.288387579,2.07158182,16709.0,2.07158182,16709.0
TPIC-4F,-7.48,-6.58,-2.7,-2.33,0.9000000000000004,0.3700000000000001,16964.7,3.017466037,-5092.059992588252,2.89901,6.15033708,13.18970850895644,3.017466037,3.017466037,2.103283506,16964.7,2.103283506,16964.7
