Donor/acceptor pair,FOM 1.5G AM
PBDB-TF_dimer and CH1007,43.921490003390765
PBDB-T_tetra and CH1007,67.09105111962309
PDCBT-Cl_tetra and CH1007,41.3431866940041
PTB7-Th_tetra and CH1007,50.235306499548884
P3HT and CPDT-4Cl,35.60394422941596
PBDB-T-2Cl_dimer and CPDT-4Cl,43.98613413540035
PBDB-TF_dimer and CPDT-4Cl,45.84025595409055
PBDB-T_tetra and CPDT-4Cl,69.00981707032292
PDCBT-Cl_tetra and CPDT-4Cl,43.26195264470389
PTB7-Th_tetra and CPDT-4Cl,52.15407245024857
P3HT and CPDT-4F,21.240170863182065
PBDB-T-2Cl_dimer and CPDT-4F,29.622360769166423
PBDB-TF_dimer and CPDT-4F,31.47648258785655
PBDB-T_tetra and CPDT-4F,54.64604370408888
PDCBT-Cl_tetra and CPDT-4F,28.898179278469904
PTB7-Th_tetra and CPDT-4F,37.79029908401467
P3HT and DTG-IW,34.773712205025966
PBDB-T-2Cl_dimer and DTG-IW,43.155902111010334
PBDB-TF_dimer and DTG-IW,45.01002392970051
PBDB-T_tetra and DTG-IW,68.17958504593292
PDCBT-Cl_tetra and DTG-IW,42.431720620313804
PTB7-Th_tetra and DTG-IW,51.32384042585856
P3HT and EH-IDTBR,38.41464970726529
PBDB-T-2Cl_dimer and EH-IDTBR,46.796839613249674
PBDB-TF_dimer and EH-IDTBR,48.650961431939756
PBDB-T_tetra and EH-IDTBR,71.82052254817219
PDCBT-Cl_tetra and EH-IDTBR,46.072658122553186
PTB7-Th_tetra and EH-IDTBR,54.96477792809788
P3HT and F-2F,32.40459504940561
PBDB-T-2Cl_dimer and F-2F,40.78678495539004
PBDB-TF_dimer and F-2F,42.64090677408017
PBDB-T_tetra and F-2F,65.8104678903126
PDCBT-Cl_tetra and F-2F,40.06260346469353
PTB7-Th_tetra and F-2F,48.954723270238254
P3HT and F-H,34.04731753905805
PBDB-T-2Cl_dimer and F-H,42.42950744504242
PBDB-TF_dimer and F-H,44.28362926373255
PBDB-T_tetra and F-H,67.45319037996491
PDCBT-Cl_tetra and F-H,41.70532595434595
PTB7-Th_tetra and F-H,50.59744575989067
P3HT and FDICTF,32.768810589619754
PBDB-T-2Cl_dimer and FDICTF,41.15100049560418
PBDB-TF_dimer and FDICTF,43.00512231429431
PBDB-T_tetra and FDICTF,66.17468343052673
PDCBT-Cl_tetra and FDICTF,40.426819004907635
PTB7-Th_tetra and FDICTF,49.31893881045238
P3HT and FO-2F,35.76802288043901
PBDB-T-2Cl_dimer and FO-2F,44.15021278642344
PBDB-TF_dimer and FO-2F,46.00433460511358
PBDB-T_tetra and FO-2F,69.17389572134589
PDCBT-Cl_tetra and FO-2F,43.42603129572695
PTB7-Th_tetra and FO-2F,52.31815110127163
P3HT and H2,37.916888711119675
PBDB-T-2Cl_dimer and H2,46.29907861710407
PBDB-TF_dimer and H2,48.15320043579421
PBDB-T_tetra and H2,71.3227615520267
PDCBT-Cl_tetra and H2,45.57489712640758
PTB7-Th_tetra and H2,54.46701693195234
P3HT and IDF-4F,35.380305373962955
PBDB-T-2Cl_dimer and IDF-4F,43.76249527994733
PBDB-TF_dimer and IDF-4F,45.61661709863749
PBDB-T_tetra and IDF-4F,68.78617821486979
PDCBT-Cl_tetra and IDF-4F,43.038313789250836
PTB7-Th_tetra and IDF-4F,51.93043359479559
P3HT and IDF-IC,31.01312988432122
PBDB-T-2Cl_dimer and IDF-IC,39.39531979030559
PBDB-TF_dimer and IDF-IC,41.24944160899574
