Acc-Don Pair,LUMO offset,HOMO offset,D-HOMO & A-LUMO offset
AQx-2/P3HT,1.7328789532696907,0.5938068445611009,1.2770769086624654
AQx-2/PBDB-T-2Cl,0.9475606574636148,0.38931328591035097,1.4815704673132153
AQx-2/PBDB-TF,0.946475187817827,0.4565798297539505,1.4143039234696158
AQx-2/PBDB-T,0.8130665856387123,0.6321748974816002,1.238708855741966
AQx-2/PDCBT-Cl,0.9610658447894904,0.622678124099151,1.2482056291244152
AQx-2/PTB7-Th,0.8457965006159434,0.7087205236272505,1.1621632295963158
AQx/P3HT,1.7509480663436987,0.5336424722155497,1.2590077955884573
AQx/PBDB-T-2Cl,0.9656297705376229,0.3291489135647998,1.4635013542392072
AQx/PBDB-TF,0.9645443008918351,0.39641545740839934,1.3962348103956077
AQx/PBDB-T,0.8311356987127203,0.572010525136049,1.220639742667958
AQx/PDCBT-Cl,0.9791349578634985,0.5625137517535999,1.2301365160504072
AQx/PTB7-Th,0.8638656136899514,0.6485561512816993,1.1440941165223077
BCDT-4Cl/P3HT,1.794987350714739,0.4649065135792503,1.2149685112174171
BCDT-4Cl/PBDB-T-2Cl,1.009669054908663,0.26041295492850036,1.419462069868167
BCDT-4Cl/PBDB-TF,1.0085835852628753,0.3276794987720999,1.3521955260245675
BCDT-4Cl/PBDB-T,0.8751749830837605,0.5032745664997496,1.1766004582969178
BCDT-4Cl/PDCBT-Cl,1.0231742422345387,0.4937777931173004,1.186097231679367
BCDT-4Cl/PTB7-Th,0.9079048980609916,0.5798201926453999,1.1000548321512675
BCDT-4F/P3HT,1.7709945034579446,0.4314909327378498,1.2389613584742114
BCDT-4F/PBDB-T-2Cl,0.9856762076518688,0.22699737408709986,1.4434549171249613
BCDT-4F/PBDB-TF,0.984590738006081,0.2942639179306994,1.3761883732813618
BCDT-4F/PBDB-T,0.8511821358269662,0.46985898565834905,1.2005933055537121
BCDT-4F/PDCBT-Cl,0.9991813949777444,0.4603622122758999,1.2100900789361613
BCDT-4F/PTB7-Th,0.8839120508041973,0.5464046118039994,1.1240476794080618
BDTN-BF/P3HT,1.7079106527117034,0.5285811545962504,1.3020452092204526
BDTN-BF/PBDB-T-2Cl,0.9225923569056276,0.3240875959455005,1.5065387678712026
BDTN-BF/PBDB-TF,0.9215068872598398,0.39135413978910005,1.439272224027603
BDTN-BF/PBDB-T,0.788098285080725,0.5669492075167497,1.2636771562999534
BDTN-BF/PDCBT-Cl,0.9360975442315032,0.5574524341343006,1.2731739296824025
BDTN-BF/PTB7-Th,0.8208282000579561,0.6434948336624,1.187131530154303
BDTN-Th/P3HT,1.6456161044360287,0.35108128991510057,1.3643397574961273
BDTN-Th/PBDB-T-2Cl,0.8602978086299529,0.14658773126435065,1.5688333161468773
BDTN-Th/PBDB-TF,0.859212338984165,0.2138542751079502,1.5015667723032777
BDTN-Th/PBDB-T,0.7258037368050503,0.38944934283559984,1.325971704575628
BDTN-Th/PDCBT-Cl,0.8738029959558284,0.3799525694531507,1.3354684779580772
BDTN-Th/PTB7-Th,0.7585336517822814,0.46599496898125015,1.2494260784299778
BT6IC-HD-4Cl/P3HT,1.845772809627921,0.5804732658866003,1.1641830523042351
BT6IC-HD-4Cl/PBDB-T-2Cl,1.060454513821845,0.3759797072358504,1.368676610954985
BT6IC-HD-4Cl/PBDB-TF,1.0593690441760573,0.4432462510794499,1.3014100671113855
BT6IC-HD-4Cl/PBDB-T,0.9259604419969425,0.6188413188070996,1.1258149993837359
BT6IC-HD-4Cl/PDCBT-Cl,1.0739597011477207,0.6093445454246504,1.135311772766185
BT6IC-HD-4Cl/PTB7-Th,0.9586903569741736,0.6953869449527499,1.0492693732380856
BTA3/P3HT,1.4346111737358007,0.2836242663761501,1.5753446881963553
BTA3/PBDB-T-2Cl,0.6492928779297249,0.0791307077254002,1.7798382468471052
BTA3/PBDB-TF,0.6482074082839371,0.14639725156899974,1.7125717030035057
BTA3/PBDB-T,0.5147988061048223,0.3219923192966494,1.536976635275856
BTA3/PDCBT-Cl,0.6627980652556005,0.31249554591420026,1.5464734086583052
BTA3/PTB7-Th,0.5475287210820534,0.3985379454422997,1.4604310091302057
BTA43/P3HT,1.3463379506957174,0.15358105722220028,1.6636179112364387
BTA43/PBDB-T-2Cl,0.5610196548896416,0.05091250142854964,1.8681114698871886
BTA43/PBDB-TF,0.5599341852438537,0.016354042415049896,1.800844926043589
BTA43/PBDB-T,0.426525583064739,0.19194911014269955,1.6252498583159394
BTA43/PDCBT-Cl,0.5745248422155171,0.1824523367602504,1.6347466316983885
BTA43/PTB7-Th,0.4592554980419701,0.26849473628834986,1.548704232170289
BTA53/P3HT,1.4853830433945219,0.2407391235373506,1.5245728185376342
BTA53/PBDB-T-2Cl,0.7000647475884461,0.03624556488660069,1.729066377188384
BTA53/PBDB-TF,0.6989792779426582,0.10351210873020023,1.6617998333447845
BTA53/PBDB-T,0.5655706757635435,0.2791071764578499,1.4862047656171349
BTA53/PDCBT-Cl,0.7135699349143216,0.26961040307540074,1.495701538999584
BTA53/PTB7-Th,0.5983005907407746,0.3556528026035002,1.4096591394714846
BTCIC-4Cl/P3HT,1.9105295384412835,0.6011539185246004,1.0994263234908725
BTCIC-4Cl/PBDB-T-2Cl,1.1252112426352077,0.3966603598738505,1.3039198821416225
BTCIC-4Cl/PBDB-TF,1.1241257729894198,0.46392690371745005,1.236653338298023
BTCIC-4Cl/PBDB-T,0.9907171708103051,0.6395219714450997,1.0610582705703733
BTCIC-4Cl/PDCBT-Cl,1.1387164299610832,0.6300251980626506,1.0705550439528224
BTCIC-4Cl/PTB7-Th,1.0234470857875362,0.71606759759075,0.984512644424723
BTCIC/P3HT,1.7355025646615165,0.3838982202854009,1.2744532972706395
BTCIC/PBDB-T-2Cl,0.9501842688554407,0.17940466163465096,1.4789468559213894
BTCIC/PBDB-TF,0.9490987992096529,0.2466712054782505,1.4116803120777899
BTCIC/PBDB-T,0.8156901970305381,0.42226627320590016,1.2360852443501402
BTCIC/PDCBT-Cl,0.9636894561813163,0.412769499823451,1.2455820177325894
BTCIC/PTB7-Th,0.8484201120077692,0.49881189935155046,1.15953961820449
BTDT2R/P3HT,1.3802005411555296,0.4443619178664999,1.6297553207766264
BTDT2R/PBDB-T-2Cl,0.5948822453494538,0.23986835921575,1.8342488794273764
BTDT2R/PBDB-TF,0.593796775703666,0.30713490305934954,1.7669823355837768
BTDT2R/PBDB-T,0.4603881735245512,0.4827299707869992,1.5913872678561272
BTDT2R/PDCBT-Cl,0.6083874326753294,0.47323319740455005,1.6008840412385763
BTDT2R/PTB7-Th,0.4931180885017823,0.5592755969326495,1.5148416417104769
BTN-4F/P3HT,1.7625927901987564,0.5522550595897506,1.2473630717333997
BTN-4F/PBDB-T-2Cl,0.9772744943926805,0.3477615009390007,1.4518566303841496
BTN-4F/PBDB-TF,0.9761890247468927,0.41502804478260025,1.38459008654055
BTN-4F/PBDB-T,0.842780422567778,0.5906231125102499,1.2089950188129004
BTN-4F/PDCBT-Cl,0.9907796817185561,0.5811263391278008,1.2184917921953495
BTN-4F/PTB7-Th,0.8755103375450091,0.6671687386559002,1.13244939266725
BTP-4Cl/P3HT,1.798054892116264,0.6507874848558002,1.211900969815892
BTP-4Cl/PBDB-T-2Cl,1.0127365963101882,0.44629392620505026,1.416394528466642
BTP-4Cl/PBDB-TF,1.0116511266644004,0.5135604700486498,1.3491279846230424
BTP-4Cl/PBDB-T,0.8782425244852856,0.6891555377762995,1.1735329168953927
BTP-4Cl/PDCBT-Cl,1.0262417836360638,0.6796587643938503,1.1830296902778419
BTP-4Cl/PTB7-Th,0.9109724394625167,0.7657011639219498,1.0969872907497424
BTP-PhC6/P3HT,1.6817801449876684,0.5191388039838998,1.3281757169444877
BTP-PhC6/PBDB-T-2Cl,0.8964618491815926,0.31464524533314986,1.5326692755952376
BTP-PhC6/PBDB-TF,0.8953763795358047,0.3819117891767494,1.465402731751638
BTP-PhC6/PBDB-T,0.76196777735669,0.557506856904399,1.2898076640239884
BTP-PhC6/PDCBT-Cl,0.9099670365074681,0.5480100835219499,1.2993044374064375
BTP-PhC6/PTB7-Th,0.7946976923339211,0.6340524830500494,1.213262037878338
BTSe-4F/P3HT,1.850738817088566,0.6576719652734502,1.1592170448435901
BTSe-4F/PBDB-T-2Cl,1.06542052128249,0.45317840662270026,1.36371060349434
BTSe-4F/PBDB-TF,1.0643350516367023,0.5204449504662998,1.2964440596507405
BTSe-4F/PBDB-T,0.9309264494575875,0.6960400181939495,1.1208489919230908
BTSe-4F/PDCBT-Cl,1.0789257086083657,0.6865432448115003,1.13034576530554
BTSe-4F/PTB7-Th,0.9636563644348186,0.7725856443395998,1.0443033657774405
BTTPC-Br/P3HT,1.6627363340876333,0.4287425828478,1.3472195278445227
BTTPC-Br/PBDB-T-2Cl,0.8774180382815575,0.22424902419705006,1.5517130864952726
BTTPC-Br/PBDB-TF,0.8763325686357697,0.2915155680406496,1.484446542651673
BTTPC-Br/PBDB-T,0.7429239664566549,0.46711063576829925,1.3088514749240234
BTTPC-Br/PDCBT-Cl,0.8909232256074331,0.4576138623858501,1.3183482483064726
