,sTDDFTLUMO,sTDDFTHOMO,sTDDFTdeltaLUMO,sTDDFTdeltaHOMO,sTDDFToptbg,sTDDFToscs,sTDDFTfundbg,sTDDFTsinglepointenergy,sTDDFTdipolemoment,sTDDFTsummedoscs,sTDDFTabsFOM,sTDDFTScharberVoc,sTDDFTScharberJscDon,sTDDFTScharberJscAcc,sTDDFTScharberJscTot,sTDDFTScharberPCETot,sTDDFTScharberPCEAcc,sTDDFTScharberPCEDon,donsTDDFTLUMO,donsTDDFTHOMO,donsTDDFTdeltaLUMO,donsTDDFTdeltaHOMO,donsTDDFToptbg,donsTDDFToscs,donsTDDFTfundbg,donsTDDFTsinglepointenergy,donsTDDFTdipolemoment,donsTDDFTsummedoscs,donsTDDFTabsFOM,sTDDFTDHomoALumoOffset,sTDDFTaccElectrophilicity,sTDDFTAccChemHard,sTDDFTAccElectrodonating,sTDDFTAccElectroaccepting,sTDDFTDonChemHard,sTDDFTDonElectrodonating,sTDDFTDonElectroaccepting,sTDDFTdonElectrophilicity,sTDDFTHOMOoffset,sTDDFTLUMOoffset,Planarity,PiSystemSize,sTDDFTdonlowestengtranseV,sTDDFTdonlowestengtranswavenumber,sTDDFTdonfirstengtranseV,sTDDFTdonfirstengtranswavenumber,sTDDFTdonfirstoscs,sTDDFTacclowestengtranseV,sTDDFTacclowestengtranswavenumber,sTDDFTaccfirstengtranseV,sTDDFTaccfirstengtranswavenumber,sTDDFTaccfirstoscs,sTDDFTacchighestoscsunderten,sTDDFTdonhighestoscsunderten,ScharberFF,ExperimentalFF,ExperimentalVoc,ExperimentalJsc,ExperimentalPCE
224,-2.87,-6.73,0.33,0.5399999999999991,2.0148780003967466,2.628156819,3.86,-7163.609837101599,11.314,6.787087049,21.50494231551519,2.97,5.517483362398773,9.296379238008514,14.813862600407289,28.598161750086263,17.946660118975437,10.651501631110827,-1.96,-6.14,0.1299999999999999,0.1100000000000003,2.331395060503868,0.283931444,4.18,-17879.61802018557,2.20141,12.985482327,50.14623799112652,3.27,5.968911917098446,3.86,8.610161917098447,3.810161917098445,4.18,6.2102930622009564,2.160293062200957,3.924043062200957,0.5900000000000007,0.91,1.6732624108251464,61,2.5710724439999995,20737.8,2.3313323179999994,18804.1,0.283931444,2.014823776,16251.2,2.014823776,16251.2,2.628156819,2.628156819,1.818247616,0.65,66.0,0.75,21.0,10.5
226,-2.87,-6.73,0.33,0.5399999999999991,2.0148780003967466,2.628156819,3.86,-7163.609837101599,11.314,6.787087049,21.50494231551519,2.68,6.967194681231387,9.296379238008514,16.263573919239903,28.33114576731591,16.194292632610832,12.136853134705076,-1.83,-5.85,0.1600000000000001,0.29,2.1962656219004164,0.241128707,4.02,-15122.809191764589,2.34005,12.751957815,44.74731995091807,2.9799999999999995,5.968911917098446,3.86,8.610161917098447,3.810161917098445,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.8800000000000008,1.04,1.6732624108251464,61,2.625226908,21174.6,2.196206516,17714.2,0.241128707,2.014823776,16251.2,2.014823776,16251.2,2.628156819,2.628156819,2.659886367,0.65,69.0,0.63,23.2,10.2
246,-2.71,-6.5,0.3599999999999999,0.5700000000000003,1.9286971830985915,2.41458012,3.79,-5325.726303404575,4.40763,5.997009449,18.141261195449893,3.13,5.517483362398773,10.571468287039032,16.088951649437803,32.73297213078121,21.507652229980916,11.225319900800304,-1.96,-6.14,0.1299999999999999,0.1100000000000003,2.331395060503868,0.283931444,4.18,-17879.61802018557,2.20141,12.985482327,50.14623799112652,3.43,5.595257255936676,3.79,8.134632255936676,3.529632255936675,4.18,6.2102930622009564,2.160293062200957,3.924043062200957,0.3600000000000003,0.75,1.9569550343782909,61,2.5710724439999995,20737.8,2.3313323179999994,18804.1,0.283931444,1.928645278,15556.1,1.928645278,15556.1,2.41458012,2.41458012,1.818247616,0.65,62.0,0.83,5.4,2.8
248,-2.71,-6.5,0.3599999999999999,0.5700000000000003,1.9286971830985915,2.41458012,3.79,-5325.726303404575,4.40763,5.997009449,18.141261195449893,2.84,6.967194681231387,10.571468287039032,17.53866296827042,32.37637183942719,19.51493045787405,12.86144138155314,-1.83,-5.85,0.1600000000000001,0.29,2.1962656219004164,0.241128707,4.02,-15122.809191764589,2.34005,12.751957815,44.74731995091807,3.14,5.595257255936676,3.79,8.134632255936676,3.529632255936675,4.02,5.839309701492535,1.9993097014925372,3.668059701492538,0.6500000000000004,0.8799999999999999,1.9569550343782909,61,2.625226908,21174.6,2.196206516,17714.2,0.241128707,1.928645278,15556.1,1.928645278,15556.1,2.41458012,2.41458012,2.659886367,0.65,63.0,0.79,18.6,9.3
267,-2.39,-6.67,0.8500000000000001,0.6799999999999997,2.328010315413608,1.5024726,4.279999999999999,-4306.140697240976,4.62173,3.2191747950000003,15.026828874752958,2.86,2.703295592027475,5.559752833962308,8.263048425989783,15.361007023915008,10.33558051833593,5.025426505579076,-0.97,-5.55,0.76,0.79,2.686260166633604,2.364060892,4.58,-3859.844937179237,0.15653,2.785353023,12.01610690118826,3.16,4.794602803738319,4.279999999999999,7.327102803738318,2.7971028037383183,4.58,4.2366866812227055,0.9766866812227076,2.320436681222707,1.12,1.4200000000000002,0.4413873443432971,35,2.686187874,21666.3,2.686187874,21666.3,2.364060892,2.327947664,18776.8,2.327947664,18776.8,1.5024726,1.5024726,2.364060892,0.65,67.0,0.81,9.42,5.09
282,-2.39,-6.67,0.8500000000000001,0.6799999999999997,2.328010315413608,1.5024726,4.279999999999999,-4306.140697240976,4.62173,3.2191747950000003,15.026828874752958,3.26,7.277138842750522,5.559752833962308,12.83689167671283,27.20137346295449,11.781116255166133,15.420257207788358,-2.05,-5.95,0.4199999999999999,0.3099999999999996,2.168530549494148,2.691697691,3.9,-11533.103933002296,13.02707,8.566758652999999,24.18064733284576,3.56,4.794602803738319,4.279999999999999,7.327102803738318,2.7971028037383183,3.9,6.346314102564103,2.346314102564102,4.102564102564102,0.7199999999999998,0.3400000000000003,0.4413873443432971,35,2.16847219,17490.5,2.16847219,17490.5,2.691697691,2.327947664,18776.8,2.327947664,18776.8,1.5024726,1.5024726,2.691697691,0.65,57.0,1.06,13.52,8.19
293,-2.74,-6.64,0.3500000000000001,0.9800000000000004,2.05127950803412,2.121377948,3.9,-3997.601865334547,6.40241,5.488901478,16.835962861991657,3.0,5.989790486935695,8.779289146406708,14.769079633342402,28.799705285017687,17.11961383549308,11.680091449524603,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.3,5.64002564102564,3.9,8.22877564102564,3.538775641025641,4.05,6.240927469135802,2.225927469135802,3.980302469135802,0.5999999999999996,0.7500000000000002,0.8658924482311195,56,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.051224304,16544.8,2.051224304,16544.8,2.121377948,2.121377948,2.257052621,0.65,77.3,0.816,25.05,15.82
315,-2.85,-6.75,0.31,0.91,2.077886332076969,2.289698648,3.9,-6412.965241028885,0.80036,6.621398717,23.463975426404986,2.89,5.989790486935695,8.409595891909474,14.399386378845168,27.04924731266065,15.797425882951948,11.251821429708704,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.19,5.907692307692308,3.9,8.551442307692309,3.751442307692309,4.05,6.240927469135802,2.225927469135802,3.980302469135802,0.71,0.8600000000000001,0.4901103381160167,59,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.077830412,16759.4,2.077830412,16759.4,2.289698648,2.289698648,2.257052621,0.65,76.0,0.85,25.5,16.5
337,-2.71,-6.62,0.31,0.8799999999999999,2.0631447133505256,1.639673913,3.91,-5707.948238177581,7.52913,6.6720649320000005,26.65495416562512,3.03,5.989790486935695,8.639401943084223,14.629192430019918,28.81219449092423,17.01530212690438,11.796892364019852,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.33,5.565786445012788,3.91,8.142661445012788,3.4776614450127874,4.05,6.240927469135802,2.225927469135802,3.980302469135802,0.5800000000000001,0.72,2.3032924595828,71,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.06308919,16640.5,2.06308919,16640.5,1.639673913,1.639673913,2.257052621,0.65,77.0,0.865,25.0,16.7
359,-2.8,-6.76,0.3099999999999996,0.8700000000000001,2.0775143820670503,1.88119791,3.96,-6304.440035123967,7.49848,5.650199399999998,20.46064937424135,2.9400000000000004,5.989790486935695,8.409595891909474,14.399386378845168,27.51722736997312,16.070737749439008,11.446489620534114,-1.99,-6.04,0.1899999999999999,0.2599999999999998,2.2861659392977582,0.548377181,4.05,-15717.647341304437,1.22344,13.040835350999998,48.55193625232204,3.24,5.769797979797978,3.96,8.407297979797981,3.627297979797979,4.05,6.240927469135802,2.225927469135802,3.980302469135802,0.7199999999999998,0.8099999999999998,1.3590306267460008,56,2.6317358579999994,21227.1,2.2861044139999995,18439.3,0.059964056,2.077458472,16756.4,2.077458472,16756.4,1.88119791,1.88119791,2.257052621,0.65,75.4,0.811,22.52,13.79
