Molecule,HOMO-1 (eV),HOMO (eV),LUMO (eV),LUMO+1 (eV),Delta HOMO,delta LUMO,optical bandgap (cm-1),oscillator strength,single point energy,dipole moment (debye),summed oscs,Abs FOM,first oscs,highest oscs under ten,first Energy Transition eV,first Energy transition wavenumber,lowest Energy Transition eV,lowest Energy transition wavenumber
F-H,-7.43,-6.75,-2.52,-2.28,0.6799999999999997,0.2400000000000002,18848.7,2.403717288,-3514.255709055046,8.16169,5.657428832999999,17.662389268942288,2.403717288,2.403717288,2.336861826,18848.7,2.336861826,18848.7
FDICTF,-7.42,-6.74,-2.52,-2.28,0.6799999999999997,0.2400000000000002,18562.8,2.197822234,-3514.246167642906,7.70627,5.494194178000001,16.26900130417567,2.197822234,2.197822234,2.3014159439999995,18562.8,2.3014159439999995,18562.8
FO-2F,-7.51,-6.91,-2.68,-2.48,0.5999999999999996,0.20000000000000018,18624.2,1.943186638,-4061.110705432547,9.48343,5.656500673,19.003343911486276,1.943186638,1.943186638,2.309028316,18624.2,2.309028316,18624.2
H2,-7.53,-6.61,-2.71,-2.48,0.9199999999999999,0.22999999999999998,16445.5,1.634962525,-5808.088734059994,6.59778,6.348473984,22.94214436189519,1.634962525,1.634962525,2.03891309,16445.5,2.03891309,16445.5
IDF-4F,-7.81,-6.93,-2.83,-2.37,0.8799999999999999,0.45999999999999996,16881.1,1.310680335,-3762.071672952882,7.00784,4.891391091,19.01764311809694,1.310680335,1.310680335,2.0929187779999996,16881.1,2.0929187779999996,16881.1
IDF-IC,-7.65,-6.77,-2.59,-2.14,0.8800000000000008,0.44999999999999973,17572.6,1.455305827,-3365.508841181284,7.29137,4.698019663,16.459711065542468,1.455305827,1.455305827,2.1786509479999996,17572.6,2.1786509479999996,17572.6
IDIC,-7.82,-6.93,-2.71,-2.25,0.8900000000000006,0.45999999999999996,18612.9,2.577273585,-3088.402625981641,3.56448,5.100503454,13.988175981839614,2.577273585,2.577273585,2.307627342,18612.9,2.307627342,18612.9
IDST-4F,-7.45,-6.6,-2.75,-2.51,0.8500000000000005,0.2400000000000002,15627.7,1.269538151,-4552.283930277007,4.08556,5.447335608,18.59720540661436,1.269538151,1.269538151,1.937522246,15627.7,1.937522246,15627.7
IDTCF,-7.74,-7.1,-2.97,-2.54,0.6400000000000006,0.43000000000000016,18468.4,2.955530862,-3125.194688753033,1.96621,3.6455114319999997,11.895090930774067,2.955530862,2.955530862,2.289712232,18468.4,2.289712232,18468.4
IDTT-TBTA,-7.47,-6.73,-2.37,-1.93,0.7399999999999993,0.44000000000000017,20072.9,2.938693495,-5609.190346211872,2.19143,4.070999575999999,13.007532659931977,2.938693495,2.938693495,2.488638142,20072.9,2.488638142,20072.9
IPTBO-4Cl,-7.46,-6.57,-2.72,-2.39,0.8899999999999997,0.33000000000000007,16353.2,1.615687417,-6690.408544319677,11.41104,5.68817537,23.59152487594321,1.615687417,1.615687417,2.027469736,16353.2,2.027469736,16353.2
IT-4F,-7.59,-6.79,-2.75,-2.47,0.7999999999999998,0.2799999999999998,17812.4,2.613444528,-5356.332549198553,4.10013,5.943682365000001,16.77993797412577,2.613444528,2.613444528,2.208381352,17812.4,2.208381352,17812.4
ITCC,-7.45,-6.62,-2.46,-2.21,0.8300000000000001,0.25,18283.3,1.809113013,-5601.257931788396,5.78739,5.905132235,21.20373795675844,1.809113013,1.809113013,2.266763534,18283.3,2.266763534,18283.3
ITIC-Th,-7.42,-6.63,-2.58,-2.31,0.79,0.27,17472.7,1.665265598,-6242.754283967138,3.99462,5.66132857,18.24607883391064,1.665265598,1.665265598,2.166265346,17472.7,2.166265346,17472.7
ITIC,-7.43,-6.59,-2.56,-2.32,0.8399999999999999,0.2400000000000002,17215.9,1.744138136,-4959.775091333931,0.42076,5.415067018999999,16.538055178675847,1.744138136,1.744138136,2.134427282,17215.9,2.134427282,17215.9
M34,-7.41,-6.65,-2.76,-2.48,0.7599999999999998,0.2799999999999998,16460.6,1.827808822,-4615.655397969913,5.29703,6.282774051,25.649303991962793,1.827808822,1.827808822,2.0407851879999996,16460.6,2.0407851879999996,16460.6
M8,-7.53,-6.65,-2.76,-2.44,0.8799999999999999,0.31999999999999984,16569.5,2.352554493,-3969.75861692784,6.16998,6.014755964,20.661917580907666,2.352554493,2.352554493,2.0542866099999997,16569.5,2.0542866099999997,16569.5
N3,-7.68,-6.75,-2.78,-2.55,0.9299999999999997,0.22999999999999998,17287.8,2.320075662,-4971.628305539454,6.0339,6.589874519999999,20.886592567340152,2.320075662,2.320075662,2.143341444,17287.8,2.143341444,17287.8
N65-2FIC,-7.57,-6.61,-2.77,-2.48,0.96,0.29000000000000004,16242.8,2.062464359,-5549.025677092341,8.28011,5.770441791,18.990919314600607,2.062464359,2.062464359,2.0137823439999996,16242.8,2.0137823439999996,16242.8
N65-IC,-7.43,-6.48,-2.6,-2.31,0.9499999999999993,0.29000000000000004,16508.8,1.927606175,-5152.481883702276,8.17454,5.792943264,18.017137890642218,1.927606175,1.927606175,2.046761024,16508.8,2.046761024,16508.8
NIBT,-7.19,-6.37,-2.33,-2.12,0.8200000000000003,0.20999999999999996,17884.0,1.911268458,-6144.319685290371,2.30256,5.351630993000001,19.436284703942203,1.911268458,1.911268458,2.21725832,17884.0,2.21725832,17884.0
NIDT,-7.21,-6.46,-2.14,-1.97,0.75,0.17000000000000015,20204.7,2.831936302,-5618.742849254354,4.94213,5.239827168999999,15.917131777427594,2.831936302,2.831936302,2.5049787059999997,20204.7,2.5049787059999997,20204.7
NITV,-7.63,-6.68,-2.4,-2.02,0.9500000000000002,0.3799999999999999,19100.5,1.949367222,-3517.793123699414,2.10715,3.71305124,13.722341648159684,1.949367222,1.949367222,2.3680799899999996,19100.5,2.3680799899999996,19100.5
O-IDTBR,-6.98,-6.34,-2.5,-2.27,0.6400000000000006,0.22999999999999998,16419.1,2.441165507,-5513.841507235471,2.18043,4.368987528,16.134883617869125,2.441165507,2.441165507,2.0356400179999996,16419.1,2.0356400179999996,16419.1
PC70BM,-7.16,-6.88,-2.54,-2.49,0.28000000000000025,0.04999999999999982,16584.5,0.121609764,-3279.358687300298,4.59596,3.1471423379999997,9.229958684858365,0.009635634,0.121609764,2.05614631,16584.5,2.478880916,19994.2
PCBM,-7.28,-7.1,-2.5,-2.42,0.1800000000000006,0.08000000000000007,17113.2,0.281038552,-2898.714048371355,4.12265,2.0476333249999996,1.0443204555742867,0.004045055,0.004045055,2.1216945359999997,17113.2,2.1216945359999997,17113.2
SNBDT1-F,-7.21,-6.45,-2.62,-2.3,0.7599999999999998,0.3200000000000003,16065.4,1.332382943,-4731.453918691001,9.84974,5.871113664000002,23.64501801587586,1.332382943,1.332382943,1.9917882919999998,16065.4,1.9917882919999998,16065.4
SeTIC,-7.4,-6.55,-2.6,-2.35,0.8500000000000005,0.25,16536.5,1.656249514,-8966.37482675269,1.02902,5.651650036,16.949944756244903,1.656249514,1.656249514,2.0501952699999997,16536.5,2.0501952699999997,16536.5
SeTIC4Cl,-7.53,-6.73,-2.76,-2.5,0.7999999999999998,0.2599999999999998,17098.7,2.251970773,-10804.249154796107,5.34602,5.951348291000001,20.25788112828038,2.251970773,2.251970773,2.1198968259999997,17098.7,2.1198968259999997,17098.7
